"Register","Page","Nº","Campo","Descrição","Tipo","Tamanho","Decimal","Valores Válidos","Obrigatório"
"0000","53","2","NOME_ESC","Texto fixo contendo a identificação do tipo de Sped (LECF).","C","4","-","[LECF]","Sim"
"0000","54","3","COD_VER","Código da versão do leiaute. Observação: Para o ano-calendário 2019 e situações especiais de 2020, o leiaute é o 0006.","C","4","-","-","Sim"
"0000","54","4","CNPJ","Preencher este campo com o número de inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ) do declarante. Observação: No caso de arquivo de Sociedade em Conta de Participação (SCP), deve ser informado neste campo o CNPJ do sócio ostensivo. O CNPJ da SCP, no caso de arquivo da SCP, será informado no campo 0000.COD_SCP.","N","14","-","-","Sim"
"0000","54","5","NOME","Nome empresarial da pessoa jurídica ou da Sociedade em Conta de Participação (SCP).","C","-","-","-","Sim"
"0000","54","6","IND_SIT_INI_PER","Indicador do Início do Período: 0 – Regular (Início no primeiro dia do ano). 1 – Abertura (Início de atividades no ano-calendário). 2 – Resultante de cisão/fusão ou remanescente de cisão, ou realizou incorporação. 4 – Início de obrigatoriedade da entrega no curso do ano calendário. (Exemplo: Exclusão do Simples Nacional ou desenquadramento como imune ou isenta do IRPJ)","N","1","-","[0; 1; 2; 4]","Sim"
"0000","54","7","SIT_ESPECIAL","Indicador de Situação Especial e Outros Eventos: 0 – Normal (Sem ocorrência de situação especial ou evento) 1 – Extinção 2 – Fusão 3 – Incorporação \ Incorporada 4 – Incorporação \ Incorporadora 5 – Cisão Total 6 – Cisão Parcial 8 – Desenquadramento de Imune/Isenta; 9 – Inclusão no Simples Nacional","C","1","-","[0; 1; 2; 3; 4; 5; 6; 8; 9]","Sim"
"0000","54","8","PAT_REMAN_CIS","Patrimônio Remanescente em Caso de Cisão (%). Observação: Necessário para o controle de saldos na conta da parte B do LALUR.","N","8","4","[0 a 100]","Não"
"0000","54","9","DT_SIT_ESP","Data da Situação Especial ou Evento: Informar a data da deliberação do evento ou, em caso de extinção da pessoa jurídica, a data em que se ultimou a sua liquidação.","N","8","-","-",""
"0000","54","10","DT_INI","Data do Início do Período: Data inicial das informações contidas no arquivo. Este campo deve ser preenchido com a data inicial do período correspondente ao ano- calendário a que se referir a ECF.","N","8","-","-","Sim"
"0000","55","11","DT_FIN","Data do Fim do Período: Data final das informações contidas no arquivo. A data correspondente ao período final é 31 de dezembro, no caso de situação normal. Nos demais casos, o período final é deve ser com base na data do evento. Atenção: Considera-se período final, nos casos de situação especial, as seguintes datas: a) Extinção: A data em que se ultimou a liquidação da pessoa jurídica; b) Fusão, Incorporação/Incorporada, Incorporação/Incorporadora, Cisão Total, Cisão Parcial e Inclusão no Simples Nacional: A data da deliberação do evento de incorporação, fusão ou cisão.","N","8","-","-","Sim"
"0000","55","12","RETIFICADORA","A pessoa jurídica deve assinalar este campo no caso de escrituração retificadora ou escrituração com mudança de forma de tributação: S – ECF retificadora N – ECF original F – ECF original com mudança de forma de tributação (Art. 6º-A, § 2º, da Instrução Normativa RFB nº 1.422/2013). A pessoa jurídica poderá efetuar a remessa de arquivo em retificação ao arquivo anteriormente remetido, observando-se a permissão, as regras e prazos estabelecidos pela Secretaria da Receita Federal do Brasil (RFB). Atenção: A substituição das ECF já transmitidas deverá ser feita na sua íntegra, pois a ECF não aceita arquivos complementares para o mesmo período informado. Como há controle de saldos, se houver substituição de uma ECF, pode haver a necessidade de substituição de ECF já transmitidas de anos posteriores.","C","1","-","[S; N; F]","Sim"
"0000","55","13","NUM_REC","Número do Recibo da ECF Anterior (hashcode): Este campo deve ser preenchido com o número constante no recibo de entrega da última ECF transmitida, nos casos de 0000.RETIFICADORA = “S” ou “F”.","C","41","-","-","Não"
"0000","55","14","TIP_ECF","Indicador do Tipo da ECF: 0 – ECF de empresa não participante de SCP como sócio ostensivo. 1 – ECF de empresa participante de SCP como sócio ostensivo. 2 – ECF da SCP.","N","1","-","[0; 1; 2]","Sim"
"0000","55","15","COD_SCP","CNPJ da SCP (Art. 4º, XVII, da Instrução Normativa RFB nº 1.634, de 6 de maio de 2016). Observação: Só deve ser preenchido pela própria SCP (Não é preenchido pelo sócio ostensivo).","N","14","-","-","Não"
"0001","60","2","IND_DAD","Indicador de movimento: 0 – Bloco com dados informados. 1 – Bloco sem dados informados.","N","1","-","[0;1]","Sim"
"0010","61","2","HASH_ECF_ANTERIOR","Hashcode da ECF do período imediatamente anterior a ser recuperado (Escrituração da qual os saldos da parte B do e-LALUR foram recuperados). Campo preenchido automaticamente pelo sistema.","C","40","-","-","Não"
"0010","61","3","OPT_REFIS","Indicador de Optante pelo Refis: S - Sim N – Não A pessoa jurídica deve assinalar este campo quando for optante pelo Programa de Recuperação Fiscal (Refis). Atenção: Este campo só deve ser assinalado pela pessoa jurídica optante pelo Programa de Recuperação Fiscal (Refis), instituído pela Lei nº 9.964, de 10 de abril de 2000, e que dele não tenha sido excluída. A pessoa jurídica que for apenas optante pelo Parcelamento Especial (Paes) de que trata a Lei nº 10.684, de 30 de maio de 2003, e outros reparcelamentos não deve assinalar este campo.","C","1","-","[S;N]","Sim"
"0010","62","4","OPT_PAES","Indicador de Optante pelo Paes: S – Sim N – Não A pessoa jurídica deve assinalar este campo quando for optante pelo Parcelamento Especial (Paes), de que trata a Lei nº 10.684, de 30 de maio de 2003.","C","1","-","[S;N]","Sim"
"0010","62","5","FORMA_TRIB","Forma de Tributação: 1 – Lucro Real. 2 – Lucro Real/Arbitrado. 3 – Lucro Presumido/Real. 4 – Lucro Presumido/Real/Arbitrado. 5 – Lucro Presumido. 6 – Lucro Arbitrado. 7 – Lucro Presumido/Arbitrado. 8 – Imune do IRPJ. 9 – Isenta do IRPJ. A forma de tributação do IRPJ (Imposto de Renda Sobre a Renda da Pessoa Jurídica) e, consequentemente, da CSLL (Contribuição Social Sobre o Lucro Líquido) adotada, indica que a pessoa jurídica tributada com base no: 1) Lucro Real: Apurou imposto de renda com base no lucro real. 2) Lucro Real/Arbitrado: Apurou imposto de renda com base no lucro real, com arbitramento da base de cálculo em algum trimestre do ano-calendário. 3) Lucro Presumido/Real: - Optou pelo lucro presumido por força de ingresso no Refis e, no decorrer do ano-calendário, foi excluída do Programa e passou a ser obrigatoriamente tributada com base no lucro real. - Iniciou o ano-calendário pagando o imposto com base no lucro presumido e, em relação ao mesmo ano, incorreu em situação de obrigatoriedade de apuração pelo lucro real por ter auferido lucros, rendimentos ou ganhos de capital oriundos do exterior. 4) Lucro Presumido/Real/Arbitrado: Além da tributação com base no lucro presumido e no lucro real, foi tributada pelo lucro arbitrado em algum trimestre do ano-calendário. 5) Lucro Presumido: Apurou imposto de renda com base no lucro presumido. 6) Lucro Arbitrado: Apurou imposto de renda com base no lucro arbitrado em todos os trimestres do ano-calendário. 7) Lucro Presumido/Arbitrado: Apurou imposto de renda com base","N","1","-","[1;2;3;4;5;6;7;8;9]","Sim"
"0010","63","6","FORMA_APUR","Indicador do Período de Apuração do IRPJ e da CSLL: T – Trimestral A – Anual","C","1","-","[T;A]","Não"
"0010","63","7","COD_QUALIF_PJ","Qualificação da Pessoa Jurídica: 01 – PJ em Geral 02 – PJ Componente do Sistema Financeiro 03 – Sociedades Seguradoras, de Capitalização ou Entidade Aberta de Previdência Complementar Atenção: Não preencher no caso de imunes e isentas (preencher o 0010.TIP_ENT).","N","2","-","[01;02;03]","Não"
"0010","63","8","FORMA_TRIB_PER","Forma de Tributação no Período: Forma de tributação no período considerando para cada trimestre no formato XXXX onde X é igual a: 0 – ZERO – Não informado – trimestre não compreendido no período de apuração. R – Real P – Presumido A – Arbitrado E – Real Estimativa Observação: Caso 0010.FORMA_TRIB seja igual “3” (Presumido/Real) ou “4” (Presumido/Real/Arbitrado) e houver opção pelo REFIS (0010.OPT_REFIS), o período tributado pelo lucro real deve ter somente a forma de apuração trimestral (Caso em que deve ser utilizado “R” em 0010.FORMA_TRIB_PER) ou somente a forma de apuração correspondente à anual/estimativa (Caso em que deve ser utilizado “E” em 0010.FORMA_TRIB_PER) .","C","4","-","[0;R;P;A;E]","Não"
"0010","64","9","MES_BAL_RED","Forma de Apuração da Estimativa Mensal: Indicação da forma de apuração da estimativa mensal, quando 0010.FORMA_APUR = “A”, considerando o formato XXXXXXXXXXXX onde X é referente a um mês e é igual a: 0 – Fora do Período: Fora do período de apuração/ Forma de tributação diferente de “R” ou “E”. E – Receita Bruta: Estimativa com base na receita bruta e acréscimos. B – Balanço ou Balancete: Estimativa com base no balanço ou balancete de suspensão/redução. Os meses correspondentes a trimestres marcados em 0010.FORMA_TRIB_PER como diferente de “R” e “E” devem estar preenchidos com zero “0”. Os meses correspondentes a trimestres marcados em 0010.FORMA_TRIB_PER iguais a “R” ou “E” devem estar preenchidos com “E” ou “B”.","C","12","-","[0;E;B]","Não"
"0010","64","10","TIP_ESC_PRE","A Escrituração: C – Obrigada a entregar a ECD ou entrega facultativa (haverá recuperação dos dados). L – Não obrigada a entregar a ECD/Livro Caixa (Opção do Lucro Presumido - parágrafo único do art. 45 da Lei nº 8.981, de 1995). tenção: - Este campo deve ser preenchido pelas pessoas jurídicas tributadas pelo lucro presumido e as imunes ou isentas. - Caso a pessoa jurídica entregue a ECD facultativamente e não queira recuperar os dados da ECD, deve utilizar a opção “L”.","C","1","-","[L;C]","Não"
