"block","code","desc","level","card"
"0","0000","Abertura do Arquivo Digital e Identificação da Pessoa Jurídica","0","[1;1]"
"0","0001","Abertura do Bloco 0","1","[1;1]"
"0","0010","Parâmetros de Tributação","2","[1;1]"
"0","0020","Parâmetros Complementares","2","[1;1]"
"0","0021","Parâmetros de Identificação dos Tipos de Programa","2","[0;1]"
"0","0030","Dados Cadastrais","2","[1;1]"
"0","0035","Identificação das SCP","2","[0:N]"
"0","0930","Identificação dos Signatários da ECF","2","[1;N]"
"0","0990","Encerramento do Bloco 0","1","[1;1]"
"C","C001","Abertura do Bloco C - Informações Recuperadas da ECD","1","[1;1]"
"C","C040","Identificador da ECD","2","[0;12]"
"C","C050","Plano de Contas da ECD","3","[0;N]"
"C","C051","Plano de Contas Referencial Preenchido na ECD","4","Se C050.IND_CTA = “A” [0:N] Senão [0]"
"C","C053","Subcontas Correlatas","4","[0;N]"
"C","C100","Centro de Custos","3","[0;N]"
"C","C150","Identificação do Período dos Saldos Periódicos das Contas Patrimoniais","3","[0;13]"
"C","C155","Detalhes dos Saldos Contábeis das Contas Patrimoniais","4","[0; N]"
"C","C157","Transferência de Saldos do Plano de Contas Anterior","5","[0;N]"
"C","C350","Identificação da Data dos Saldos das Contas de Resultado Antes do Encerramento","3","[0; N]"
"C","C355","Detalhes dos Saldos das Contas de Resultado Antes do Encerramento","4","[0;N]"
"C","C990","Encerramento do Bloco C","1","[1;1]"
"E","E001","Abertura do Bloco E – Informações Recuperadas da ECF Anterior e Cálculo Fiscal dos Dados Recuperados da ECD","1","[1;1]"
"E","E010","Saldos Finais Recuperados da ECF Anterior","2","[0;N]"
"E","E015","Contas Contábeis Mapeadas","3","[0;N]"
"E","E020","Saldos Finais das Contas da Parte B do e-Lalur da ECF Imediatamente Anterior","2","[0;N]"
"E","E030","Identificação do Período","2","[0;13]"
"E","E155","Detalhes dos Saldos Contábeis Calculados com Base nas ECD","3","[0;N]"
"E","E355","Detalhes dos Saldos das Contas de Resultado Antes do Encerramento","3","[0;N]"
"E","E990","Encerramento do Bloco E","1","[1;1]"
"J","J001","Abertura do Bloco J – Plano de Contas e Mapeamento","1","[1;1]"
"J","J050","Plano de Contas do Contribuinte","2","[0;N]"
"J","J051","Plano de Contas Referencial","3","Se J050.IND_CTA = “A” [1:N] Senão [0]"
"J","J053","Subcontas Correlatas","3","[0;N]"
"J","J100","Centro de Custos","2","[0;N]"
"J","J990","Encerramento do Bloco J","1","[1;1]"
"K","K001","Abertura do Bloco K – Saldos das Contas Contábeis e Referenciais","1","[1;1]"
"K","K030","Identificação dos Períodos e Formas de Apuração do IRPJ e da CSLL no Ano-Calendário","2","[0;13]"
"K","K155","Detalhes dos Saldos Contábeis (Depois do Encerramento do Resultado do Período)","3","[0;N]"
"K","K156","Mapeamento Referencial do Saldo","4","[0;N]"
"K","K355","Saldos Finais das Contas Contábeis de Resultado Antes do Encerramento","3","[0;N]"
"K","K356","Mapeamento Referencial dos Saldos Finais das Contas de Resultado Antes do Encerramento","4","[0;N]"
"K","K915","Justificativa para Divergência nas Contas Patrimoniais","2","[0;N]"
"K","K935","Justificativa para Divergência nas Contas de Resultado","2","[0;N]"
"K","K990","Encerramento do Bloco K","1","[1;1]"
"L","L001","Abertura do Bloco L – Lucro Real","1","[1;1]"
"L","L030","Identificação dos Períodos e Formas de Apuração do IRPJ e da CSLL no Ano-Calendário","2","[0;13]"
"L","L100","Balanço Patrimonial","3","[0;N]"
"L","L200","Método de Avaliação do Estoque Final","3","[0;N]"
"L","L210","Informativo da Composição de Custos","3","[0;N]"
"L","L300","Demonstração do Resultado Líquido no Período Fiscal","3","[0;N]"
"L","L990","Encerramento do Bloco L","1","[1;1]"
"M","M001","Abertura do Bloco M – Livro Eletrônico de Apuração do Lucro Real (e-Lalur) e Livro Eletrônico de Apuração da Base de Cálculo da CSLL (e-Lacs)","1","[1;1]"
"M","M010","Identificação da Conta na Parte B e-Lalur e do e-Lacs","2","[0;N]"
"M","M030","Identificação do Período e Forma de Apuração do IRPJ e da CSLL das Empresas Tributadas pelo Lucro Real","2","[0;13]"
"M","M300","Demonstração do Lucro Real","3","[0;N]"
"M","M305","Contas da Parte B Relacionadas ao Lançamento da Parte A do e-Lalur","4","[0;N]"
"M","M310","Contas Contábeis Relacionadas ao Lançamento da Parte A do e-Lalur","4","[0;N]"
"M","M312","Números dos Lançamentos Relacionados à Conta Contábil","5","[0;N]"
"M","M315","Identificação de Processos Judiciais e Administrativos Referentes ao Lançamento","4","[0;N]"
"M","M350","Demonstração da Base de Cálculo da CSLL","3","[0;N]"
"M","M355","Contas da Parte B Relacionadas ao Lançamento da Parte A do e-Lacs","4","[0;N]"
"M","M360","Contas Contábeis Relacionadas ao Lançamento da Parte A do e-Lacs","4","[0;N]"
"M","M362","Números dos Lançamentos Relacionados à Conta Contábil","5","[0;N]"
"M","M365","Identificação de Processos Judiciais e Administrativos Referentes ao Lançamento","4","[0;N]"
"M","M410","Lançamentos na Conta da Parte B do e-Lalur e do e- Lacs Sem Reflexo na Parte A","3","[0;N]"
"M","M415","Identificação de Processos Judiciais e Administrativos Referentes ao Lançamento","4","[0;N]"
"M","M500","Controle de Saldos das Contas da Parte B do e-Lalur e do e-Lacs","3","[0;N]"
"M","M510","Controle de Saldos das Contas Padrão da Parte B do e- Lalur e do e-Lacs","3","[0;N]"
"N","N001","Abertura do bloco N – Cálculo do IRPJ e da CSLL","1","[1;1]"
"N","N030","Identificação do Período e Forma de Apuração do IRPJ e da CSLL das Empresas Tributadas pelo Lucro Real","2","[0;13]"
"N","N500","Base de Cálculo do IRPJ Sobre o Lucro Real Após as Compensações de Prejuízos","3","[0;N]"
"N","N600","Demonstração do Lucro da Exploração","3","[0;N]"
"N","N610","Cálculo da Isenção e Redução do Imposto sobre Lucro Real","3","[0;N]"
"N","N615","Informações da Base de Cálculo de Incentivos Fiscais","3","[0;N]"
"N","N620","Apuração do IRPJ Mensal por Estimativa","3","[0;N]"
"N","N630","Apuração do IRPJ Com Base no Lucro Real","3","[0;N]"
"N","N650","Base de Cálculo da CSLL Após Compensações das Bases de Cálculo Negativa","3","[0;N]"
"N","N660","Apuração da CSLL Mensal por Estimativa","3","[0;N]"
"N","N670","Apuração da CSLL Com Base no Lucro Real","3","[0;N]"
"N","N990","Encerramento do Bloco N","1","[1;1]"
"P","P001","Abertura do Bloco P – Lucro Presumido","1","[1;1]"
"P","P030","Identificação dos Períodos e Forma de Apuração do IRPJ e da CSLL das Empresas Tributadas pelo Lucro Presumido","2","[0;4]"
"P","P100","Balanço Patrimonial","3","[0;N]"
"P","P130","Demonstração das Receitas Incentivadas do Lucro Presumido","3","[0;N]"
"P","P150","Demonstração do Resultado","3","[0;N]"
"P","P200","Apuração da Base de Cálculo do Lucro Presumido","3","[1;N]"
"P","P230","Cálculo da Isenção e Redução do Lucro Presumido","3","[0;N]"
"P","P300","Cálculo do IRPJ com Base no Lucro Presumido","3","[1;N]"
"P","P400","Apuração da Base de Cálculo da CSLL com Base no Lucro Presumido","3","[1;N]"
"P","P500","Cálculo da CSLL com Base no Lucro Líquido","3","[1;N]"
"P","P990","Encerramento do Bloco P","1","[1;1]"
"Q","Q001","Abertura do Bloco Q – Livro Caixa","1","[1;1]"
"Q","Q100","Demonstrativo do Livro Caixa","2","[0;N]"
