"block","code","desc","level","card"
"0","0300","Cadastro de bens ou componentes do Ativo Imobilizado","2","V"
"0","0305","Informação sobre a Utilização do Bem","3","1:1"
"0","0500","Plano de contas contábeis","2","V"
"0","0600","Centro de custos","2","V"
"G","G001","Abertura do Bloco G","1","1"
"G","G110","ICMS – Ativo Permanente – CIAP","2","V"
"G","G125","Movimentação de bem ou componente do Ativo Imobilizado","3","1:N"
"G","G126","Outros créditos CIAP","4","1:N"
"G","G130","Identificação do documento fiscal","4","1:N"
"G","G140","Identificação do item do documento fiscal","5","1:N"
"G","G990","Encerramento do Bloco G","1","1"
"1","1900","Indicador de Sub-apuração do ICMS","2","V"
"1","1910","Período da Sub-apuração do ICMS","3","1:N"
"1","1920","Sub-apuração do ICMS","4","1:1"
"1","1921","Ajuste/Benefício/Incentivo da Sub- apuração do ICMS","5","1:N"
"1","1922","Informações Adicionais dos Ajustes da Sub-apuração do ICMS","6","1:N"
"1","1923","Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais","6","1:N"
"1","1925","Informações Adicionais da Sub- apuração – Valores Declaratórios","5","1:N"
"1","1926","Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração","5","1:N"
"1","1900","Indicador de Sub-apuração do ICMS","2","V"
"K","K001","Abertura do Bloco K","1","1"
"K","K100","Período de Apuração do ICMS/IPI","2","V"
"K","K200","Estoque Escriturado","3","1:N"
"K","K220","Outras Movimentações Internas entre Mercadorias","3","1:N"
"K","K230","Itens Produzidos","3","1:N"
"K","K235","Insumos Consumidos","4","1:N"
"K","K250","Industrialização Efetuada por Terceiros – Itens Produzidos","3","1:N"
"K","K255","Industrialização em Terceiros – Insumos Consumidos","4","1:N"
"K","K990","Encerramento do Bloco K","1","1"
"C","C101","Informação complementar dos documentos fiscais quando das operações interestaduais destinadas a consumidor final não contribuinte - EC 87/15","3","1:1"
"D","D101","Informação complementar dos documentos fiscais quando das prestações interestaduais destinadas a consumidor final não contribuinte - EC 87/15","3","1:1"
"E","E300","Período de Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15","2","V"
"E","E310","Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15","3","1:1"
"E","E311","Ajuste/Benefício/Incentivo da Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15","4","1:N"
"E","E312","Informações Adicionais dos Ajustes da Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15","5","1:N"
"E","E313","Informações Adicionais da Apuração do ICMS Diferencial de Alíquota – UF Origem/Destino EC 87/15 Identificação dos Documentos Fiscais","5","1:N"
"E","E316","Obrigações do ICMS recolhido ou a recolher – Diferencial de Alíquota – UF Origem/Destino EC 87/15","4","1:N"
"K","K210","Desmontagem de mercadorias – Item de Origem","3","1:N"
"K","K215","Desmontagem de mercadorias – Item de Destino","4","1:N"
"K","K260","Reprocessamento/Reparo de Produto/Insumo","3","1:N"
"K","K265","Reprocessamento/Reparo – Mercadorias Consumidas e/ou Retornadas","4","1:N"
"K","K270","Correção de Apontamento dos Registros K210, K220, K230, K250 e K260","3","1:N"
"K","K275","Correção de Apontamento e Retorno de Insumos dos Registros K215, K220, K235, K255 e K265","4","1:N"
"K","K280","Correção de Apontamento – Estoque Escriturado","3","1:N"
"E","E531","Informações adicionais dos ajustes da apuração do IPI – Identificação dos documentos fiscais (01 e 55)","5","1:N"
"B","B001","Abertura do Bloco B","1","1"
"B","B020","Nota Fiscal (código 01), Nota Fiscal de Serviços (código 03), Nota Fiscal de Serviços Avulsa (código 3B), Nota Fiscal de Produtor (código 04), Conhecimento de Transporte Rodoviário de Cargas (código 08), NF-e (código 55) e NFC-e (código 65)","2","V"
"B","B025","Detalhamento por combinação de alíquota e item da lista de serviços da Lei Complementar nº 116/2003","3","1:N"
"B","B030","Nota fiscal de Serviços Simplificada (código 3A)","2","V"
"B","B350","Serviços prestados por insituições financeiras","2","V"
"B","B420","Totalização dos valores de serviços prestados por combinação de alíquota e item da lista de serviços da Lei Complementar nº 116/2003","2","V"
"B","B440","Totalização dos valores retidos","2","V"
"B","B460","Deduções do ISS","2","V"
"B","B470","Apuração do ISS","2","1"
"B","B500","Apuração do ISS sociedade uniprofissional","2","1"
"B","B510","Uniprofissional – empregados e sócios","3","V"
"B","B990","Encerramento do Bloco B","1","1"
"C","C191","Informações do Fundo de Combate à Pobreza – FCP – na NF-e (código 55)","4","1:1"
"K","K290","Produção Conjunta – Ordem de Produção","3","1:N"
"K","K291","Produção Conjunta – Itens Produzidos","4","1:N"
"K","K292","Produção Conjunta – insumos Consumidos","4","1:N"
"K","K300","Produção Conjunta – Industrialização efetuada por terceiros","3","1:N"
"K","K301","Produção Conjunta – Industrialização efetuada por terceiros – Itens Produzidos","4","1:N"
"K","K302","Produção Conjunta – Industrialização efetuada por terceiros – Insumos Consumidos","4","1:N"
"C","C177","Complemento de Item – Outras informações (Cód. 01, 55) – (Válido a partir de 01/01/2019)","4","1:N"
"1","1960","GIAF 1 - Guia de informação e apuração de incentivos fiscais e financeiros: indústria (crédito presumido)","2","1:N"
"1","1970","GIAF 3 - Guia de informação e apuração de incentivos fiscais e financeiros: importação (diferimento na entrada e crédito presumido na saída subsequente)","2","1:N"
"1","1975","GIAF 3 - Guia de informação e apuração de incentivos fiscais e financeiros: importação (saídas internas por faixa de alíquota)","3","1:4"
"1","1980","GIAF 4 - Guia de informação e apuração de incentivos fiscais e financeiros: central de distribuição (entradas/saídas)","2","1"
"C","C180","Informações complementares das operações de entrada de mercadorias sujeitas à substituição tributária (código 01, 1B, 04 e 55)","4","1:1"
"C","C185","Informações complementares das operações de saída de mercadorias sujeitas à substituição tributária (código 01, 1B, 04 e 55)","3","1:1"
