"register","index","code","type","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","length","decimal","spec_type","spec_required","spec_in","spec_out","desc"
"0000","2","COD_VER","int","True","","","","","","003*","","N","O","","","Código da versão do leiaute conforme a tabela indicada no Ato COTEPE."
"0000","3","COD_FIN","int","True","","","","","","001","","N","O","","","Código da finalidade do arquivo: 0 - Remessa do arquivo original; 1 - Remessa do arquivo substituto."
"0000","4","DT_INI","date","True","","","","","","008*","","N","O","","","Data inicial das informações contidas no arquivo."
"0000","5","DT_FIN","date","True","","","","","","008*","","N","O","","","Data final das informações contidas no arquivo."
"0000","6","NOME","char","True","","","","","","100","","C","O","","","Nome empresarial da entidade."
"0000","7","CNPJ","int","","","","True","","","014*","","N","OC","","","Número de inscrição da entidade no CNPJ."
"0000","8","CPF","int","","","","True","","","011*","","N","OC","","","Número de inscrição da entidade no CPF."
"0000","9","UF","char","True","","","","","","002*","","C","O","","","Sigla da unidade da federação da entidade."
"0000","10","IE","char","True","","","","","","014","","C","O","","","Inscrição Estadual da entidade."
"0000","11","COD_MUN","int","True","","","","","","007*","","N","O","","","Código do município do domicílio fiscal da entidade, conforme a tabela IBGE"
"0000","12","IM","char","","","","True","","","","","C","OC","","","Inscrição Municipal da entidade."
"0000","13","SUFRAMA","char","","","","True","","","009*","","C","OC","","","Inscrição da entidade na SUFRAMA"
"0000","14","IND_PERFIL","char","True","","","","","","001","","C","O","","","Perfil de apresentação do arquivo fiscal; A – Perfil A; B – Perfil B.; C – Perfil C."
"0000","15","IND_ATIV","int","True","","","","","","001","","N","O","","","Indicador de tipo de atividade: 0 – Industrial ou equiparado a industrial; 1 – Outros."
"0001","2","IND_MOV","int","True","","","","","","001","","N","O","","","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados."
"0005","2","FANTASIA","char","True","","","","","","060","","C","O","","","Nome de fantasia associado ao nome empresarial."
"0005","3","CEP","int","True","","","","","","008*","","N","O","","","Código de Endereçamento Postal."
"0005","4","END","char","True","","","","","","060","","C","O","","","Logradouro e endereço do imóvel."
"0005","5","NUM","char","","","","True","","","010","","C","OC","","","Número do imóvel."
"0005","6","COMPL","char","","","","True","","","060","","C","OC","","","Dados complementares do endereço."
"0005","7","BAIRRO","char","True","","","","","","060","","C","O","","","Bairro em que o imóvel está situado."
"0005","8","FONE","char","","","","True","","","11","","C","OC","","","Número do telefone (DDD+FONE)."
"0005","9","FAX","char","","","","True","","","11","","C","OC","","","Número do fax."
"0005","10","EMAIL","char","","","","True","","","","","C","OC","","","Endereço do correio eletrônico."
"0015","2","UF_ST","char","True","","","","","","002*","","C","O","","","Sigla da unidade da federação do contribuinte substituído ou unidade de federação do consumidor final não contribuinte - ICMS Destino EC 87/15."
"0015","3","IE_ST","char","True","","","","","","014","","C","O","","","Inscrição Estadual do contribuinte substituto na unidade da federação do contribuinte substituído ou unidade de federação do consumidor final não contribuinte - ICMS Destino EC 87/15."
"0100","2","NOME","char","True","","","","","","100","","C","O","","","Nome do contabilista."
"0100","3","CPF","int","True","","","","","","011*","","N","O","","","Número de inscrição do contabilista no CPF."
"0100","4","CRC","char","True","","","","","","015","","C","O","","","Número de inscrição do contabilista no Conselho Regional de Contabilidade."
"0100","5","CNPJ","int","","","","True","","","014*","","N","OC","","","Número de inscrição do escritório de contabilidade no CNPJ, se houver."
"0100","6","CEP","int","","","","True","","","008*","","N","OC","","","Código de Endereçamento Postal."
"0100","7","END","char","","","","True","","","060","","C","OC","","","Logradouro e endereço do imóvel."
"0100","8","NUM","char","","","","True","","","010","","C","OC","","","Número do imóvel."
"0100","9","COMPL","char","","","","True","","","060","","C","OC","","","Dados complementares do endereço."
"0100","10","BAIRRO","char","","","","True","","","060","","C","OC","","","Bairro em que o imóvel está situado."
"0100","11","FONE","char","","","","True","","","11","","C","OC","","","Número do telefone (DDD+FONE)."
"0100","12","FAX","char","","","","True","","","11","","C","OC","","","Número do fax."
"0100","13","EMAIL","char","True","","","","","","","","C","O","","","Endereço do correio eletrônico."
"0100","14","COD_MUN","int","True","","","","","","007*","","N","O","","","Código do município, conforme tabela IBGE."
"0150","2","COD_PART","char","True","","","","","","060","","C","O","","","Código de identificação do participante no arquivo."
"0150","3","NOME","char","True","","","","","","100","","C","O","","","Nome pessoal ou empresarial do participante."
"0150","4","COD_PAIS","int","True","","","","","","005","","N","O","","","Código do país do participante, conforme a tabela indicada no item 3.2.1"
"0150","5","CNPJ","int","","","","True","","","014*","","N","OC","","","CNPJ do participante."
"0150","6","CPF","int","","","","True","","","011*","","N","OC","","","CPF do participante."
"0150","7","IE","char","","","","True","","","014","","C","OC","","","Inscrição Estadual do participante."
"0150","8","COD_MUN","int","","","","True","","","007*","","N","OC","","","Código do município, conforme a tabela IBGE"
"0150","9","SUFRAMA","char","","","","True","","","009*","","C","OC","","","Número de inscrição do participante na SUFRAMA."
"0150","10","END","char","True","","","","","","060","","C","O","","","Logradouro e endereço do imóvel"
"0150","11","NUM","char","","","","True","","","010","","C","OC","","","Número do imóvel"
"0150","12","COMPL","char","","","","True","","","060","","C","OC","","","Dados complementares do endereço"
"0150","13","BAIRRO","char","","","","True","","","060","","C","OC","","","Bairro em que o imóvel está situado"
"0175","2","DT_ALT","date","True","","","","","","008*","","N","O","","","Data de alteração do cadastro"
"0175","3","NR_CAMPO","char","True","","","","","","002","","C","O","","","Número do campo alterado (campos 03 a 13, exceto 07)"
"0175","4","CONT_ANT","char","True","","","","","","100","","C","O","","","Conteúdo anterior do campo"
"0190","2","UNID","char","True","","","","","","006","","C","O","","","Código da unidade de medida"
"0190","3","DESCR","char","True","","","","","","","","C","O","","","Descrição da unidade de medida"
"0200","2","COD_ITEM","char","True","","","","","","060","","C","O","","","Código do item"
"0200","3","DESCR_ITEM","char","True","","","","","","","","C","O","","","Descrição do item"
"0200","4","COD_BARRA","char","","","","True","","","","","C","OC","","","Representação alfanumérico do código de barra do produto, se houver"
"0200","5","COD_ANT_ITEM","char","","","","","","","060","","C","N (informar no 0205)","","","Código anterior do item com relação à última informação apresentada."
"0200","6","UNID_INV","char","True","","","","","","006","","C","O","","","Unidade de medida utilizada na quantificação de estoques."
"0200","7","TIPO_ITEM","int","True","","","","","","2","","N","O","","","Tipo do item – Atividades Industriais, Comerciais e Serviços: 00 – Mercadoria para Revenda; 01 – Matéria-Prima; 02 – Embalagem; 03 – Produto em Processo; 04 – Produto Acabado; 05 – Subproduto; 06 – Produto Intermediário; 07 – Material de Uso e Consumo; 08 – Ativo Imobilizado; 09 – Serviços; 10 – Outros insumos; 99 – Outras"
"0200","8","COD_NCM","char","","","","True","","","008*","","C","OC","","","Código da Nomenclatura Comum do Mercosul"
"0200","9","EX_IPI","char","","","","True","","","003","","C","OC","","","Código EX, conforme a TIPI"
"0200","10","COD_GEN","int","","","","True","","","002*","","N","OC","","","Código do gênero do item, conforme a Tabela 4.2.1"
"0200","11","COD_LST","char","","","","True","","","005","","C","OC","","","Código do serviço conforme lista do Anexo I da Lei Complementar Federal nº 116/03."
"0200","12","ALIQ_ICMS","float","","","","True","","","006","02","N","OC","","","Alíquota de ICMS aplicável ao item nas operações internas"
"0200","13","CEST","int","","","","True","","","007*","","N","OC","","","Código Especificador da Substituição Tributária"
"0205","2","DESCR_ANT_ITEM","char","","","","True","","","","","C","OC","","","Descrição anterior do item"
"0205","3","DT_INI","date","True","","","","","","008*","","N","O","","","Data inicial de utilização da descrição do item"
"0205","4","DT_FIM","date","True","","","","","","008*","","N","O","","","Data final de utilização da descrição do item"
"0205","5","COD_ANT_ITEM","char","","","","True","","","060","","C","OC","","","Código anterior do item com relação à última informação apresentada."
"0206","2","COD_COMB","char","True","","","","","","","","C","O","","","Código do produto, conforme tabela publicada pela ANP"
"0210","2","COD_ITEM_COMP","char","True","","","","","","60","","C","O","","","Código do item componente/insumo (campo 02 do Registro 0200)"
"0210","3","QTD_COMP","float","True","","","","","","","6","N","O","","","Quantidade do item componente/insumo para se produzir uma unidade do item composto/resultante"
"0210","4","PERDA","float","True","","","","","","","4","N","O","","","Perda/quebra normal percentual do insumo/componente para se produzir uma unidade do item composto/resultante"
"0220","2","UNID_CONV","char","True","","","","","","006","","C","O","","","Unidade comercial a ser convertida na unidade de estoque, referida no registro 0200."
"0220","3","FAT_CONV","float","True","","","","","","","6","N","O","","","Fator de conversão: fator utilizado para converter (multiplicar) a unidade a ser convertida na unidade adotada no inventário."
"0300","2","COD_IND_BEM","char","True","","","","","","060","","C","O","","","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante"
"0300","3","IDENT_MERC","char","True","","","","","","001*","","C","O","","","Identificação do tipo de mercadoria: 1 = bem; 2 = componente."
"0300","4","DESCR_ITEM","char","True","","","","","","","","C","O","","","Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)"
"0300","5","COD_PRNC","char","","","","True","","","060","","C","OC","","","Código de cadastro do bem principal nos casos em que o bem ou componente ( campo 02) esteja vinculado a um bem principal."
"0300","6","COD_CTA","char","True","","","","","","060","","C","O","","","Código da conta analítica de contabilização do bem ou componente (campo 06 do Registro 0500)"
"0300","7","NR_PARC","int","","","","True","","","003","","N","OC","","","Número total de parcelas a serem apropriadas, segundo a legislação de cada unidade federada"
"0305","2","COD_CCUS","char","True","","","","","","060","","C","O","","","Código do centro de custo onde o bem está sendo ou será utilizado (campo 03 do Registro 0600)"
"0305","3","FUNC","char","True","","","","","","","","C","O","","","Descrição sucinta da função do bem na atividade do estabelecimento"
"0305","4","VIDA_UTIL","int","","","","True","","","003","","N","OC","","","Vida útil estimada do bem, em número de meses"
"0400","2","COD_NAT","char","True","","","","","","010","","C","O","","","Código da natureza da operação/prestação"
"0400","3","DESCR_NAT","char","True","","","","","","","","C","O","","","Descrição da natureza da operação/prestação"
"0450","2","COD_INF","char","True","","","","","","006","","C","O","","","Código da informação complementar do documento fiscal."
"0450","3","TXT","char","True","","","","","","","","C","O","","","Texto livre da informação complementar existente no documento fiscal, inclusive espécie de normas legais, poder normativo, número, capitulação, data e demais referências pertinentes com indicação referentes ao tributo."
"0460","2","COD_OBS","char","True","","","","","","006","","C","O","","","Código da Observação do lançamento fiscal."
"0460","3","TXT","char","True","","","","","","","","C","O","","","Descrição da observação vinculada ao lançamento fiscal"
"0500","2","DT_ALT","date","True","","","","","","008*","","N","O","","","Data da inclusão/alteração"
"0500","3","COD_NAT_CC","char","True","","","","","","002*","","C","O","","","Código da natureza da conta/grupo de contas: 01 - Contas de ativo; 02 - Contas de passivo; 03 - Patrimônio líquido; 04 - Contas de resultado; 05 - Contas de compensação; 09 - Outras."
"0500","4","IND_CTA","char","True","","","","","","001*","","C","O","","","Indicador do tipo de conta: S - Sintética (grupo de contas); A - Analítica (conta)."
"0500","5","NÍVEL","int","True","","","","","","005","","N","O","","","Nível da conta analítica/grupo de contas."
"0500","6","COD_CTA","char","True","","","","","","60","","C","O","","","Código da conta analítica/grupo de contas."
"0500","7","NOME_CTA","char","True","","","","","","60","","C","O","","","Nome da conta analítica/grupo de contas."
"0600","2","DT_ALT","date","True","","","","","","008*","","N","O","","","Data da inclusão/alteração."
"0600","3","COD_CCUS","char","True","","","","","","060","","C","O","","","Código do centro de custos."
"0600","4","CCUS","char","True","","","","","","060","","C","O","","","Nome do centro de custos."
"0990","2","QTD_LIN_0","int","True","","","","","","","","N","O","","","Quantidade total de linhas do Bloco 0"
"C001","2","IND_MOV","char","True","","","","","","001","","C","O","","","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados"
"C100","2","IND_OPER","char","","True","True","","","","001*","","C","","O","O","Indicador do tipo de operação: 0- Entrada; 1- Saída"
"C100","3","IND_EMIT","char","","True","True","","","","001*","","C","","O","O","Indicador do emitente do documento fiscal: 0- Emissão própria; 1- Terceiros"
"C100","4","COD_PART","char","","True","True","","","","060","","C","","O","O","Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas"
"C100","5","COD_MOD","char","","True","True","","","","002*","","C","","O","O","Código do modelo do documento fiscal, conforme a Tabela 4.1.1"
"C100","6","COD_SIT","int","","True","True","","","","002*","","N","","O","O","Código da situação do documento fiscal, conforme a Tabela 4.1.2"
"C100","7","SER","char","","","","","True","True","003","","C","","OC","OC","Série do documento fiscal"
"C100","8","NUM_DOC","int","","True","True","","","","009","","N","","O","O","Número do documento fiscal"
"C100","9","CHV_NFE","int","","","","","True","True","044*","","N","","OC","OC","Chave da Nota Fiscal Eletrônica"
"C100","10","DT_DOC","date","","True","True","","","","008*","","N","","O","O","Data da emissão do documento fiscal"
"C100","11","DT_E_S","date","","True","","","","True","008*","","N","","O","OC","Data da entrada ou da saída"
"C100","12","VL_DOC","float","","True","True","","","","","02","N","","O","O","Valor total do documento fiscal"
"C100","13","IND_PGTO","char","","True","True","","","","001*","","C","","O","O","Indicador do tipo de pagamento: 0- À vista; 1- A prazo; 9- Sem pagamento."
"C100","14","VL_DESC","float","","","","","True","True","","02","N","","OC","OC","Valor total do desconto"
"C100","15","VL_ABAT_NT","float","","","","","True","True","","02","N","","OC","OC","Abatimento não tributado e não comercial Ex. desconto ICMS nas remessas para ZFM."
"C100","16","VL_MERC","float","","True","","","","True","","02","N","","O","OC","Valor total das mercadorias e serviços"
"C100","17","IND_FRT","char","","True","True","","","","001*","","C","","O","O","Indicador do tipo do frete: 0- Por conta de terceiros; 1- Por conta do emitente; 2- Por conta do destinatário; 9- Sem cobrança de frete."
"C100","18","VL_FRT","float","","","","","True","True","","02","N","","OC","OC","Valor do frete indicado no documento fiscal"
"C100","19","VL_SEG","float","","","","","True","True","","02","N","","OC","OC","Valor do seguro indicado no documento fiscal"
"C100","20","VL_OUT_DA","float","","","","","True","True","","02","N","","OC","OC","Valor de outras despesas acessórias"
"C100","21","VL_BC_ICMS","float","","","","","True","True","","02","N","","OC","OC","Valor da base de cálculo do ICMS"
"C100","22","VL_ICMS","float","","","","","True","True","","02","N","","OC","OC","Valor do ICMS"
"C100","23","VL_BC_ICMS_ST","float","","","","","True","True","","02","N","","OC","OC","Valor da base de cálculo do ICMS substituição tributária"
"C100","24","VL_ICMS_ST","float","","","","","True","True","","02","N","","OC","OC","Valor do ICMS retido por substituição tributária"
"C100","25","VL_IPI","float","","","","","True","True","","02","N","","OC","OC","Valor total do IPI"
"C100","26","VL_PIS","float","","","","","True","True","","02","N","","OC","OC","Valor total do PIS"
"C100","27","VL_COFINS","float","","","","","True","True","","02","N","","OC","OC","Valor total da COFINS"
"C100","28","VL_PIS_ST","float","","","","","True","True","","02","N","","OC","OC","Valor total do PIS retido por substituição tributária"
"C100","29","VL_COFINS_ST","float","","","","","True","True","","02","N","","OC","OC","Valor total da COFINS retido por substituição tributária"
"C101","2","VL_FCP_UF_DEST","float","","True","True","","","","","02","N","","O","O","Valor total relativo ao Fundo de Combate à Pobreza (FCP) da UF de destino"
"C101","3","VL_ICMS_UF_DEST","float","","True","True","","","","","02","N","","O","O","Valor total do ICMS Interestadual para a UF de destino"
"C101","4","VL_ICMS_UF_REM","float","","True","True","","","","","02","N","","O","O","Valor total do ICMS Interestadual para a UF do remetente"
"C105","2","OPER","int","","True","True","","","","001*","","N","","O","O","Indicador do tipo de operação: 0- Combustíveis e Lubrificantes; 1- leasing de veículos ou faturamento direto."
"C105","3","UF","char","","True","True","","","","002*","","C","","O","O","Sigla da UF de destino do ICMS_ST"
"C110","2","COD_INF","char","","True","True","","","","006","","C","","O","O","Código da informação complementar do documento fiscal (campo 02 do Registro 0450)"
"C110","3","TXT_COMPL","char","","","","","True","True","","","C","","OC","OC","Descrição complementar do código de referência."
"C111","2","NUM_PROC","char","","True","True","","","","015","","C","","O","O","Identificação do processo ou ato concessório."
"C111","3","IND_PROC","char","","True","True","","","","001*","","C","","O","O","Indicador da origem do processo: 0 - SEFAZ; 1 - Justiça Federal; 2 - Justiça Estadual; 3 - SECEX/SRF 9 - Outros."
"C112","2","COD_DA","char","","True","True","","","","001*","","C","","O","O","Código do modelo do documento de arrecadação : 0 - documento estadual de arrecadação 1 – GNRE"
"C112","3","UF","char","","True","True","","","","002*","","C","","O","O","Unidade federada beneficiária do recolhimento"
"C112","4","NUM_DA","char","","","","","True","True","","","C","","OC","OC","Número do documento de arrecadação"
"C112","5","COD_AUT","char","","","","","True","True","","","C","","OC","OC","Código completo da autenticação bancária"
"C112","6","VL_DA","float","","True","True","","","","","02","N","","O","O","Valor do total do documento de arrecadação (principal, atualização monetária, juros e multa)"
"C112","7","DT_VCTO","date","","True","True","","","","008*","","N","","O","O","Data de vencimento do documento de arrecadação"
"C112","8","DT_PGTO","date","","True","True","","","","008*","","N","","O","O","Data de pagamento do documento de arrecadação, ou data do vencimento, no caso de ICMS antecipado a recolher."
"C113","2","IND_OPER","char","","True","True","","","","001*","","C","","O","O","Indicador do tipo de operação: 0- Entrada/aquisição; 1- Saída/prestação"
"C113","3","IND_EMIT","char","","True","True","","","","001*","","C","","O","O","Indicador do emitente do título: 0- Emissão própria; 1- Terceiros"
"C113","4","COD_PART","char","","True","True","","","","060","","C","","O","O","Código do participante emitente (campo 02 do Registro 0150) do documento referenciado."
"C113","5","COD_MOD","char","","True","True","","","","002*","","C","","O","O","Código do documento fiscal, conforme a Tabela 4.1.1"
"C113","6","SER","char","","","","","True","True","004","","C","","OC","OC","Série do documento fiscal"
"C113","7","SUB","int","","","","","True","True","003","","N","","OC","OC","Subsérie do documento fiscal"
"C113","8","NUM_DOC","int","","True","True","","","","009","","N","","O","O","Número do documento fiscal"
"C113","9","DT_DOC","date","","True","True","","","","008*","","N","","O","O","Data da emissão do documento fiscal."
"C113","10","CHV_DOCe","int","","","","","True","True","044*","","N","","OC","OC","Chave do Documento Eletrônico"
"C114","2","COD_MOD","char","","True","True","","","","002*","","C","","O","O","Código do modelo do documento fiscal, conforme a tabela indicada no item 4.1.1"
"C114","3","ECF_FAB","char","","True","True","","","","021","","C","","O","O","Número de série de fabricação do ECF"
"C114","4","ECF_CX","int","","True","True","","","","003","","N","","O","O","Número do caixa atribuído ao ECF"
"C114","5","NUM_DOC","int","","True","True","","","","009","","N","","O","O","Número do documento fiscal"
