"block","code","required","level","card","spec_required","desc"
"0","0000","True","0","1","Sim","ABERTURA DO ARQUIVO DIGITAL E IDENTIFICAÇÃO DO EMPRESÁRIO OU DA SOCIEDADE EMPRESÁRIA"
"0","0001","True","1","1","Sim","ABERTURA DO BLOCO 0"
"0","0007","True","2","0:N","Sim","OUTRAS INSCRIÇÕES CADASTRAIS DA PESSOA JURÍDICA"
"0","0020","True","2","0:N","Sim","ESCRITURAÇÃO CONTÁBIL DESCENTRALIZADA"
"0","0035","True","2","0:N","Sim","IDENTIFICAÇÃO DAS SCP"
"0","0150","True","2","0:N","Sim","TABELA DE CADASTRO DO PARTICIPANTE"
"0","0180","True","3","1:N","Sim","IDENTIFICAÇÃO DO RELACIONAMENTO COM O PARTICIPANTE"
"0","0990","True","1","1","Sim","ENCERRAMENTO DO BLOCO 0"
"I","I001","True","1","1","Sim","ABERTURA DO BLOCO I"
"I","I010","True","2","1","Sim","IDENTIFICAÇÃO DA ESCRITURAÇÃO CONTÁBIL"
"I","I012","True","3","0:N","Sim","LIVROS AUXILIARES AO DIÁRIO"
"I","I015","True","4","1:N","Sim","IDENTIFICAÇÃO DAS CONTAS DA ESCRITURAÇÃO RESUMIDA A QUE SE REFERE A ESCRITURAÇÃO AUXILIAR"
"I","I020","True","3","0:N","Sim","CAMPOS ADICIONAIS"
"I","I030","True","3","1","Sim","TERMO DE ABERTURA"
"I","I050","True","3","1:N","Sim","PLANO DE CONTAS"
"I","I051","True","4","1:N","Sim","PLANO DE CONTAS REFERENCIAL"
"I","I052","True","4","1:N","Sim","INDICAÇÃO DOS CÓDIGOS DE AGLUTINAÇÃO"
"I","I053","True","4","1:N","Sim","SUBCONTAS CORRELATAS"
"I","I075","True","3","0:N","Sim","TABELA DE HISTÓRICO PADRONIZADO"
"I","I100","True","3","0:N","Sim","CENTRO DE CUSTOS"
"I","I150","True","3","1:12","Sim","SALDOS PERIÓDICOS – IDENTIFICAÇÃO DO PERÍODO"
"I","I151","True","4","0:N","Sim","FICHAS DE ASSINATURA DIGITAL DOS ARQUIVOS QUE CONTÉM AS LANÇAMENTO UTILIZADAS NO PERÍODO"
"I","I155","True","4","1:N","Sim","DETALHES DOS SALDOS PERIÓDICOS"
"I","I157","True","5","1:N","Sim","TRANSFERÊNCIA DE SALDOS DO PLANO DE CONTAS ANTERIOR"
"I","I200","True","3","1:N","Sim","LANÇAMENTO CONTÁBIL"
"I","I250","True","4","1:N","Sim","PARTIDAS DO LANÇAMENTO CONTÁBIL"
"I","I300","True","3","0:N","Sim","BALANCETES DIÁRIOS – IDENTIFICAÇÃO DA DATA"
"I","I310","True","4","1:N","Sim","DETALHES DO BALANCETE DIÁRIO"
"I","I350","True","3","1:12","Sim","SALDOS DAS CONTAS DE RESULTADO ANTES DO ENCERRAMENTO – IDENTIFICAÇÃO DA DATA"
"I","I355","True","4","1:N","Sim","DOS SALDOS DAS CONTAS DE RESULTADO ANTES DO DETALHES ENCERRAMENTO"
"I","I500","True","3","0:N","Sim","PARÂMETROS DE IMPRESSÃO/VISUALIZAÇÃO DO LIVRO RAZÃO AUXILIAR COM LEIAUTE PARAMETRIZÁVEL"
"I","I510","True","3","0:N","Sim","DEFINIÇÃO DOS CAMPOS DO LIVRO RAZÃO AUXILIAR COM LEIAUTE PARAMETRIZÁVEL"
"I","I550","True","3","0:N","Sim","DETALHES DO LIVRO RAZÃO AUXILIAR COM LEIAUTE PARAMETRIZÁVEL"
"I","I555","True","4","0:N","Sim","TOTAIS NO LIVRO RAZÃO AUXILIAR COM LEIAUTE PARAMETRIZÁVEL"
"I","I990","True","1","1","Sim","ENCERRAMENTO DO BLOCO I"
"J","J001","True","1","1","Sim","ABERTURA DO BLOCO J"
"J","J005","True","2","1:12","Sim","DEMONSTRAÇÕES CONTÁBEIS"
"J","J100","True","3","1:N","Sim","BALANÇO PATRIMONIAL"
"J","J150","True","3","1:N","Sim","DEMONSTRAÇÃO DO RESULTADO DO EXERCÍCIO (DRE)"
"J","J210","True","3","1:N","Sim","DE OU DEMONSTRAÇÃO LUCROS PREJUÍZOS ACUMULADOS DO (DLPA)/DEMONSTRAÇÃO DE MUTAÇÕES PATRIMÔNIO LÍQUIDO (DMPL)"
"J","J215","True","4","1:N","Sim","FATO CONTÁBIL QUE ALTERA A CONTA LUCROS ACUMULADOS OU A CONTA PREJUÍZOS ACUMULADOS OU O PATRIMÔNIO LÍQUIDO"
"J","J800","True","3","1:N","Sim","OUTRAS INFORMAÇÕES"
"J","J801","True","3","0:1","Sim","TERMO DE VERIFICAÇÃO PARA FINS DE SUBSTITUIÇÃO DA ECD"
"J","J900","True","2","1","Sim","TERMO DE ENCERRAMENTO"
"J","J930","True","3","1:N","Sim","SIGNATÁRIOS DA ESCRITURAÇÃO"
"J","J932","True","3","1:N","Sim","SIGNATÁRIOS DO TERMO DE VERIFICAÇÃO PARA FINS DE SUBSTITUIÇÃO DA ECD"
"J","J935","True","3","1:N","Sim","IDENTIFICAÇÃO DOS AUDITORES INDEPENDENTES"
"J","J990","True","1","1","Sim","ENCERRAMENTO DO BLOCO J"
"K","K001","True","1","1","Sim","ABERTURA DO BLOCO K"
"K","K030","True","2","0:1","Sim","PERÍODO DA ESCRITURAÇÃO CONTÁBIL CONSOLIDADA"
"K","K100","True","3","0:N","Sim","RELAÇÃO DAS EMPRESAS CONSOLIDADAS"
"K","K110","True","4","0:N","Sim","RELAÇÃO DOS EVENTOS SOCIETÁRIOS"
"K","K115","True","5","0:N","Sim","EMPRESAS PARTICIPANTES DO EVENTO SOCIETÁRIO"
"K","K200","True","2","1:N","Sim","PLANO DE CONTAS CONSOLIDADO"
"K","K210","True","3","1:N","Sim","MAPEAMENTO PARA O PLANO DE CONTAS DAS EMPRESAS CONSOLIDADAS"
"K","K300","True","3","0:N","Sim","SALDOS DAS CONTAS CONSOLIDADAS"
"K","K310","True","4","0:N","Sim","EMPRESAS DETENTORAS DAS PARCELAS DO VALOR ELIMINADO TOTAL"
