"register","index","code","type","required","length","decimal","spec_type","spec_required","desc"
"0000","2","COD_VER","int","True","003*","","N","S","Código da versão do leiaute conforme a tabela 3.1.1."
"0000","3","TIPO_ESCRIT","int","True","001*","","N","S","Tipo de escrituração: 0 - Original; 1 – Retificadora."
"0000","4","IND_SIT_ESP","int","False","001*","","N","N","Indicador de situação especial: 0 - Abertura 1 - Cisão 2 - Fusão 3 - Incorporação 4 – Encerramento"
"0000","5","NUM_REC_ANTERIOR","char","False","041*","","C","N","Número do Recibo da Escrituração anterior a ser retificada, utilizado quando TIPO_ESCRIT for igual a 1"
"0000","6","DT_INI","date","True","008*","","N","S","Data inicial das informações contidas no arquivo."
"0000","7","DT_FIN","date","True","008*","","N","S","Data final das informações contidas no arquivo."
"0000","8","NOME","char","True","100","","C","S","Nome empresarial da pessoa jurídica"
"0000","9","CNPJ","int","True","014*","","N","S","Número de inscrição do estabelecimento matriz da pessoa jurídica no CNPJ."
"0000","10","UF","char","True","002*","","C","S","Sigla da Unidade da Federação da pessoa jurídica."
"0000","11","COD_MUN","int","True","007*","","N","S","Código do município do domicílio fiscal da pessoa jurídica, conforme a tabela IBGE"
"0000","12","SUFRAMA","char","False","009*","","C","N","Inscrição da pessoa jurídica na Suframa"
"0000","13","IND_NAT_PJ","int","False","002*","","N","N","Indicador da natureza da pessoa jurídica: 00 – Pessoa jurídica em geral 01 – Sociedade cooperativa 02 – Entidade sujeita ao PIS/Pasep exclusivamente com base na Folha de Salários"
"0000","14","IND_ATIV","int","True","001","","N","S","Indicador de tipo de atividade preponderante: 0 – Industrial ou equiparado a industrial; 1 – Prestador de serviços; 2 - Atividade de comércio; 3 – Pessoas jurídicas referidas nos §§ 6º, 8º e 9º do art. 3º da Lei nº 9.718, de 1998; 4 – Atividade imobiliária; 9 – Outros."
"0001","2","IND_MOV","int","True","001","","N","S","Indicador de movimento: 0 - Bloco com dados informados; 1 – Bloco sem dados informados."
"0035","2","COD_SCP","int","","014*","","N","","Identificação da SCP"
"0035","3","DESC_SCP","char","","","","C","","Descrição da SCP"
"0035","4","INF_COMP","char","","","","C","","Informação Complementar"
"0100","2","NOME","char","True","100","","C","S","Nome do contabilista."
"0100","3","CPF","int","True","011*","","N","S","Número de inscrição do contabilista no CPF."
"0100","4","CRC","char","True","015","","C","S","Número de inscrição do contabilista no Conselho Regional de Contabilidade."
"0100","5","CNPJ","int","False","014*","","N","N","Número de inscrição do escritório de contabilidade no CNPJ, se houver."
"0100","6","CEP","int","False","008*","","N","N","Código de Endereçamento Postal."
"0100","7","END","char","False","060","","C","N","Logradouro e endereço do imóvel."
"0100","8","NUM","char","False","","","C","N","Número do imóvel."
"0100","9","COMPL","char","False","060","","C","N","Dados complementares do endereço."
"0100","10","BAIRRO","char","False","060","","C","N","Bairro em que o imóvel está situado."
"0100","11","FONE","char","False","11","","C","N","Número do telefone."
"0100","12","FAX","char","False","11","","C","N","Número do fax."
"0100","13","EMAIL","char","False","","","C","N","Endereço do correio eletrônico."
"0100","14","COD_MUN","int","False","007*","","N","N","Código do município, conforme tabela IBGE."
"0110","2","COD_INC_TRIB","int","True","001 *","","N","S","Código indicador da incidência tributária no período: 1 – Escrituração de operações com incidência exclusivamente no regime não-cumulativo; 2 – Escrituração de operações com incidência exclusivamente no regime cumulativo; 3 – Escrituração de operações com incidência nos regimes não-cumulativo e cumulativo."
"0110","3","IND_APRO_CRED","int","False","001 *","","N","N","Código indicador de método de apropriação de créditos comuns, no caso de incidência no regime não-cumulativo (COD_INC_TRIB = 1 ou 3): 1 – Método de Apropriação Direta; 2 – Método de Rateio Proporcional (Receita Bruta)"
"0110","4","COD_TIPO_CONT","int","False","001 *","","N","N","Código indicador do Tipo de Contribuição Apurada no Período 1 – Apuração da Contribuição Exclusivamente a Alíquota Básica 2 – Apuração da Contribuição a Alíquotas Específicas (Diferenciadas e/ou por Unidade de Medida de Produto)"
"0110","5","IND_REG_CUM","int","False","001 *","","N","N","Código indicador do critério de escrituração e apuração adotado, no caso de incidência exclusivamente no regime cumulativo (COD_INC_TRIB = 2), pela pessoa jurídica submetida ao regime de tributação com base no lucro presumido: 1 – Regime de Caixa – Escrituração consolidada (Registro F500); 2 – Regime de Competência - Escrituração consolidada (Registro F550); 9 – Regime de Competência - Escrituração detalhada, com base nos registros dos Blocos “A”,"
"0111","2","REC_BRU_NCUM_TRIB_MI","float","True","","02","N","S","Receita Bruta Não-Cumulativa - Tributada no Mercado Interno"
"0111","3","REC_BRU_NCUM_NT_MI","float","True","","02","N","S","Receita Bruta Não-Cumulativa – Não Tributada no Mercado Interno (Vendas com suspensão, alíquota zero, isenção e sem incidência das contribuições)"
"0111","4","REC_BRU_NCUM_EXP","float","True","","02","N","S","Receita Bruta Não-Cumulativa – Exportação"
"0111","5","REC_BRU_CUM","float","True","","02","N","S","Receita Bruta Cumulativa"
"0111","6","REC_BRU_TOTAL","float","True","","02","N","S","Receita Bruta Total"
"0120","2","MES_REFER","char","True","006*","","C","S","Mês de referência do ano-calendário da escrituração sem dados, dispensada da entrega. Campo a ser preenchido no formato “mmaaaa”"
"0120","3","INF_COMP","char","True","090","","C","S","Informação complementar do registro. No caso de escrituração sem dados, deve ser informado o real motivo dessa situação, conforme indicadores abaixo: 01 - Pessoa jurídica imune ou isenta do IRPJ 02 - Órgãos públicos, autarquias e fundações públicas 03 - Pessoa jurídica inativa 04 - Pessoa jurídica em geral, que não realizou operações geradoras de receitas (tributáveis ou não) ou de créditos 05 - Sociedade em Conta de Participação - SCP, que não realizou operações geradoras de receitas (tributáveis ou não) ou de créditos 06 - Sociedade Cooperativa, que não realizou operações geradoras de receitas (tributáveis ou não) ou de créditos 07 - Escrituração decorrente de incorporação, fusão ou cisão, sem operações geradoras de receitas (tributáveis ou não) ou de créditos 99 - Demais hipóteses de dispensa de escrituração, relacionadas no art. 5º, da IN RFB nº 1.252, de 2012"
"0140","2","COD_EST","char","False","060","","C","N","Código de identificação do estabelecimento"
"0140","3","NOME","char","True","100","","C","S","Nome empresarial do estabelecimento"
"0140","4","CNPJ","int","True","014*","","N","S","Número de inscrição do estabelecimento no CNPJ."
"0140","5","UF","char","True","002*","","C","S","Sigla da unidade da federação do estabelecimento."
"0140","6","IE","char","False","014","","C","N","Inscrição Estadual do estabelecimento, se contribuinte de ICMS."
"0140","7","COD_MUN","int","True","007*","","N","S","Código do município do domicílio fiscal do estabelecimento, conforme a tabela IBGE"
"0140","8","IM","char","False","","","C","N","Inscrição Municipal do estabelecimento, se contribuinte do ISS."
"0140","9","SUFRAMA","char","False","009*","","C","N","Inscrição do estabelecimento na Suframa"
"0145","2","COD_INC_TRIB","int","True","001*","","N","S","Código indicador da incidência tributária no período: 1 – Contribuição Previdenciária apurada no período, exclusivamente com base na Receita Bruta; 2 – Contribuição Previdenciária apurada no período, com base na Receita Bruta e com base nas Remunerações pagas, na forma dos nos incisos I e III do art. 22 da Lei no 8.212, de 1991."
