"block","code","required","level","card","spec_required","desc"
"0","0000","True","0","[1;1]","Sim","Abertura do Arquivo Digital e Identificação da Pessoa Jurídica"
"0","0001","True","1","[1;1]","Sim","Abertura do Bloco 0"
"0","0010","True","2","[1;1]","Sim","Parâmetros de Tributação"
"0","0020","True","2","[1;1]","Sim","Parâmetros Complementares"
"0","0021","True","2","[0;1]","Sim","Parâmetros de Identificação dos Tipos de Programa"
"0","0030","True","2","[1;1]","Sim","Dados Cadastrais"
"0","0035","True","2","[0:N]","Sim","Identificação das SCP"
"0","0930","True","2","[1;N]","Sim","Identificação dos Signatários da ECF"
"0","0990","True","1","[1;1]","Sim","Encerramento do Bloco 0"
"C","C001","True","1","[1;1]","Sim","Abertura do Bloco C - Informações Recuperadas da ECD"
"C","C040","True","2","[0;12]","Sim","Identificador da ECD"
"C","C050","True","3","[0;N]","Sim","Plano de Contas da ECD"
"C","C051","True","4","Se C050.IND_CTA = “A” [0:N] Senão [0]","Sim","Plano de Contas Referencial Preenchido na ECD"
"C","C053","True","4","[0;N]","Sim","Subcontas Correlatas"
"C","C100","True","3","[0;N]","Sim","Centro de Custos"
"C","C150","True","3","[0;13]","Sim","Identificação do Período dos Saldos Periódicos das Contas Patrimoniais"
"C","C155","True","4","[0; N]","Sim","Detalhes dos Saldos Contábeis das Contas Patrimoniais"
"C","C157","True","5","[0;N]","Sim","Transferência de Saldos do Plano de Contas Anterior"
"C","C350","True","3","[0; N]","Sim","Identificação da Data dos Saldos das Contas de Resultado Antes do Encerramento"
"C","C355","True","4","[0;N]","Sim","Detalhes dos Saldos das Contas de Resultado Antes do Encerramento"
"C","C990","True","1","[1;1]","Sim","Encerramento do Bloco C"
"E","E001","True","1","[1;1]","Sim","Abertura do Bloco E – Informações Recuperadas da ECF Anterior e Cálculo Fiscal dos Dados Recuperados da ECD"
"E","E010","True","2","[0;N]","Sim","Saldos Finais Recuperados da ECF Anterior"
"E","E015","True","3","[0;N]","Sim","Contas Contábeis Mapeadas"
"E","E020","True","2","[0;N]","Sim","Saldos Finais das Contas da Parte B do e-Lalur da ECF Imediatamente Anterior"
"E","E030","True","2","[0;13]","Sim","Identificação do Período"
"E","E155","True","3","[0;N]","Sim","Detalhes dos Saldos Contábeis Calculados com Base nas ECD"
"E","E355","True","3","[0;N]","Sim","Detalhes dos Saldos das Contas de Resultado Antes do Encerramento"
"E","E990","True","1","[1;1]","Sim","Encerramento do Bloco E"
"J","J001","True","1","[1;1]","Sim","Abertura do Bloco J – Plano de Contas e Mapeamento"
"J","J050","True","2","[0;N]","Sim","Plano de Contas do Contribuinte"
"J","J051","True","3","Se J050.IND_CTA = “A” [1:N] Senão [0]","Sim","Plano de Contas Referencial"
"J","J053","True","3","[0;N]","Sim","Subcontas Correlatas"
"J","J100","True","2","[0;N]","Sim","Centro de Custos"
"J","J990","True","1","[1;1]","Sim","Encerramento do Bloco J"
"K","K001","True","1","[1;1]","Sim","Abertura do Bloco K – Saldos das Contas Contábeis e Referenciais"
"K","K030","True","2","[0;13]","Sim","Identificação dos Períodos e Formas de Apuração do IRPJ e da CSLL no Ano-Calendário"
"K","K155","True","3","[0;N]","Sim","Detalhes dos Saldos Contábeis (Depois do Encerramento do Resultado do Período)"
"K","K156","True","4","[0;N]","Sim","Mapeamento Referencial do Saldo"
"K","K355","True","3","[0;N]","Sim","Saldos Finais das Contas Contábeis de Resultado Antes do Encerramento"
"K","K356","True","4","[0;N]","Sim","Mapeamento Referencial dos Saldos Finais das Contas de Resultado Antes do Encerramento"
"K","K915","True","2","[0;N]","Sim","Justificativa para Divergência nas Contas Patrimoniais"
"K","K935","True","2","[0;N]","Sim","Justificativa para Divergência nas Contas de Resultado"
"K","K990","True","1","[1;1]","Sim","Encerramento do Bloco K"
"L","L001","True","1","[1;1]","Sim","Abertura do Bloco L – Lucro Real"
"L","L030","True","2","[0;13]","Sim","Identificação dos Períodos e Formas de Apuração do IRPJ e da CSLL no Ano-Calendário"
"L","L100","True","3","[0;N]","Sim","Balanço Patrimonial"
"L","L200","True","3","[0;N]","Sim","Método de Avaliação do Estoque Final"
"L","L210","True","3","[0;N]","Sim","Informativo da Composição de Custos"
"L","L300","True","3","[0;N]","Sim","Demonstração do Resultado Líquido no Período Fiscal"
"L","L990","True","1","[1;1]","Sim","Encerramento do Bloco L"
