"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"0300","36","02","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","-","O","",""
"0300","36","03","IDENT_MERC","Identificação do tipo de mercadoria: 1 = bem; 2 = componente.","C","001*","-","O","",""
"0300","36","04","DESCR_ITEM","Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)","C","-","-","O","",""
"0300","37","05","COD_PRNC","Código de cadastro do bem principal nos casos em que o bem ou componente ( campo 02) esteja vinculado a um bem principal.","C","060","-","OC","",""
"0300","37","06","COD_CTA","Código da conta analítica de contabilização do bem ou componente (campo 06 do Registro 0500)","C","060","-","O","",""
"0300","37","07","NR_PARC","Número total de parcelas a serem apropriadas, segundo a legislação de cada unidade federada","N","003","-","OC","",""
"0305","37","02","COD_CCUS","Código do centro de custo onde o bem está sendo ou será utilizado (campo 03 do Registro 0600)","C","060","-","O","",""
"0305","37","03","FUNC","Descrição sucinta da função do bem na atividade do estabelecimento","C","-","-","O","",""
"0305","37","04","VIDA_UTIL","Vida útil estimada do bem, em número de meses","N","003","-","OC","",""
"0500","39","02","DT_ALT","Data da inclusão/alteração","N","008*","-","O","",""
"0500","39","03","COD_ NAT_CC","Código da natureza da conta/grupo de contas: 01 - Contas de ativo; 02 - Contas de passivo; 03 - Patrimônio líquido; 04 - Contas de resultado; 05 - Contas de compensação; 09 - Outras.","C","002*","-","O","",""
"0500","39","04","IND_CTA","Indicador do tipo de conta: S - Sintética (grupo de contas); A - Analítica (conta).","C","001*","-","O","",""
"0500","39","05","NÍVEL","Nível da conta analítica/grupo de contas.","N","005","-","O","",""
"0500","39","06","COD_CTA","Código da conta analítica/grupo de contas.","C","60","-","O","",""
"0500","39","07","NOME_CTA","Nome da conta analítica/grupo de contas.","C","60","-","O","",""
"0600","40","02","DT_ALT","Data da inclusão/alteração.","N","008*","-","O","",""
"0600","40","03","COD_CCUS","Código do centro de custos.","C","060","-","O","",""
"0600","40","04","CCUS","Nome do centro de custos.","C","060","-","O","",""
"G001","211","02","IND_MOV","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados","C","001*","-","O","",""
"G110","212","02","DT_INI","Data inicial a que a apuração se refere","N","008*","-","O","",""
"G110","212","03","DT_FIN","Data final a que a apuração se refere","N","008*","-","O","",""
"G110","212","04","SALDO_IN_ICMS","Saldo inicial de ICMS do CIAP, composto por ICMS de bens que entraram anteriormente ao período de apuração (somatório dos campos 05 a 08 dos registros G125)","N","-","02","O","",""
"G110","212","05","SOM_PARC","Somatório das parcelas de ICMS passível de apropriação de cada bem (campo 10 do G125)","N","-","02","O","",""
"G110","212","06","VL_TRIB_EXP","Valor do somatório das saídas tributadas e saídas para exportação","N","-","02","O","",""
"G110","212","07","VL_TOTAL","Valor total de saídas","N","-","02","O","",""
"G110","212","08","IND_PER_SAI","Índice de participação do valor do somatório das saídas tributadas e saídas para exportação no valor total de saídas (Campo 06 dividido pelo campo 07)","N","-","08","O","",""
"G110","212","09","ICMS_APROP","Valor de ICMS a ser apropriado na apuração do ICMS, correspondente à multiplicação do campo 05 pelo campo 08.","N","-","02","O","",""
"G110","212","10","SOM_ICMS_OC","Valor de outros créditos a ser apropriado na Apuração do ICMS, correspondente ao somatório do campo 09 do registro G126.","N","-","02","O","",""
"G125","213","02","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","-","O","",""
"G125","213","03","DT_MOV","Data da movimentação ou do saldo inicial","N","008*","-","O","",""
