"register","index","code","desc","spec_type","length","spec_required","type","required","conditional_required","decimal","spec_in","spec_out","conditional_out_required","conditional_in_required"
"0300","2","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","O","char","True","","","","","",""
"0300","3","IDENT_MERC","Identificação do tipo de mercadoria: 1 = bem; 2 = componente.","C","001*","O","char","True","","","","","",""
"0300","4","DESCR_ITEM","Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)","C","","O","char","True","","","","","",""
"0300","5","COD_PRNC","Código de cadastro do bem principal nos casos em que o bem ou componente ( campo 02) esteja vinculado a um bem principal.","C","060","OC","char","","True","","","","",""
"0300","6","COD_CTA","Código da conta analítica de contabilização do bem ou componente (campo 06 do Registro 0500)","C","060","O","char","True","","","","","",""
"0300","7","NR_PARC","Número total de parcelas a serem apropriadas, segundo a legislação de cada unidade federada","N","003","OC","int","","True","","","","",""
"0305","2","COD_CCUS","Código do centro de custo onde o bem está sendo ou será utilizado (campo 03 do Registro 0600)","C","060","O","char","True","","","","","",""
"0305","3","FUNC","Descrição sucinta da função do bem na atividade do estabelecimento","C","","O","char","True","","","","","",""
"0305","4","VIDA_UTIL","Vida útil estimada do bem, em número de meses","N","003","OC","int","","True","","","","",""
"0500","2","DT_ALT","Data da inclusão/alteração","N","008*","O","date","True","","","","","",""
"0500","3","COD_NAT_CC","Código da natureza da conta/grupo de contas: 01 - Contas de ativo; 02 - Contas de passivo; 03 - Patrimônio líquido; 04 - Contas de resultado; 05 - Contas de compensação; 09 - Outras.","C","002*","O","char","True","","","","","",""
"0500","4","IND_CTA","Indicador do tipo de conta: S - Sintética (grupo de contas); A - Analítica (conta).","C","001*","O","char","True","","","","","",""
"0500","5","NÍVEL","Nível da conta analítica/grupo de contas.","N","005","O","int","True","","","","","",""
"0500","6","COD_CTA","Código da conta analítica/grupo de contas.","C","60","O","char","True","","","","","",""
"0500","7","NOME_CTA","Nome da conta analítica/grupo de contas.","C","60","O","char","True","","","","","",""
"0600","2","DT_ALT","Data da inclusão/alteração.","N","008*","O","date","True","","","","","",""
"0600","3","COD_CCUS","Código do centro de custos.","C","060","O","char","True","","","","","",""
"0600","4","CCUS","Nome do centro de custos.","C","060","O","char","True","","","","","",""
"G001","2","IND_MOV","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados","C","001*","O","char","True","","","","","",""
"G110","2","DT_INI","Data inicial a que a apuração se refere","N","008*","O","date","True","","","","","",""
"G110","3","DT_FIN","Data final a que a apuração se refere","N","008*","O","date","True","","","","","",""
"G110","4","SALDO_IN_ICMS","Saldo inicial de ICMS do CIAP, composto por ICMS de bens que entraram anteriormente ao período de apuração (somatório dos campos 05 a 08 dos registros G125)","N","","O","float","True","","02","","","",""
