"register","index","code","desc","spec_type","length","spec_required","type","required","decimal"
"0000","2","COD_VER","Código da versão do leiaute conforme a tabela 3.1.1.","N","003*","S","int","True",""
"0000","3","TIPO_ESCRIT","Tipo de escrituração: 0 - Original; 1 – Retificadora.","N","001*","S","int","True",""
"0000","4","IND_SIT_ESP","Indicador de situação especial: 0 - Abertura 1 - Cisão 2 - Fusão 3 - Incorporação 4 – Encerramento","N","001*","N","int","False",""
"0000","5","NUM_REC_ANTERIOR","Número do Recibo da Escrituração anterior a ser retificada, utilizado quando TIPO_ESCRIT for igual a 1","C","041*","N","char","False",""
"0000","6","DT_INI","Data inicial das informações contidas no arquivo.","N","008*","S","date","True",""
"0000","7","DT_FIN","Data final das informações contidas no arquivo.","N","008*","S","date","True",""
"0000","8","NOME","Nome empresarial da pessoa jurídica","C","100","S","char","True",""
"0000","9","CNPJ","Número de inscrição do estabelecimento matriz da pessoa jurídica no CNPJ.","N","014*","S","int","True",""
"0000","10","UF","Sigla da Unidade da Federação da pessoa jurídica.","C","002*","S","char","True",""
"0000","11","COD_MUN","Código do município do domicílio fiscal da pessoa jurídica, conforme a tabela IBGE","N","007*","S","int","True",""
"0000","12","SUFRAMA","Inscrição da pessoa jurídica na Suframa","C","009*","N","char","False",""
"0000","13","IND_NAT_PJ","Indicador da natureza da pessoa jurídica: 00 – Pessoa jurídica em geral 01 – Sociedade cooperativa 02 – Entidade sujeita ao PIS/Pasep exclusivamente com base na Folha de Salários","N","002*","N","int","False",""
"0000","14","IND_ATIV","Indicador de tipo de atividade preponderante: 0 – Industrial ou equiparado a industrial; 1 – Prestador de serviços; 2 - Atividade de comércio; 3 – Pessoas jurídicas referidas nos §§ 6º, 8º e 9º do art. 3º da Lei nº 9.718, de 1998; 4 – Atividade imobiliária; 9 – Outros.","N","001","S","int","True",""
"0001","2","IND_MOV","Indicador de movimento: 0 - Bloco com dados informados; 1 – Bloco sem dados informados.","N","001","S","int","True",""
"0035","2","COD_SCP","Identificação da SCP","N","014*","","int","",""
"0035","3","DESC_SCP","Descrição da SCP","C","","","char","",""
"0035","4","INF_COMP","Informação Complementar","C","","","char","",""
"0100","2","NOME","Nome do contabilista.","C","100","S","char","True",""
"0100","3","CPF","Número de inscrição do contabilista no CPF.","N","011*","S","int","True",""
"0100","4","CRC","Número de inscrição do contabilista no Conselho Regional de Contabilidade.","C","015","S","char","True",""
"0100","5","CNPJ","Número de inscrição do escritório de contabilidade no CNPJ, se houver.","N","014*","N","int","False",""
"0100","6","CEP","Código de Endereçamento Postal.","N","008*","N","int","False",""
"0100","7","END","Logradouro e endereço do imóvel.","C","060","N","char","False",""
"0100","8","NUM","Número do imóvel.","C","","N","char","False",""
"0100","9","COMPL","Dados complementares do endereço.","C","060","N","char","False",""
"0100","10","BAIRRO","Bairro em que o imóvel está situado.","C","060","N","char","False",""
"0100","11","FONE","Número do telefone.","C","11","N","char","False",""
"0100","12","FAX","Número do fax.","C","11","N","char","False",""
"0100","13","EMAIL","Endereço do correio eletrônico.","C","","N","char","False",""
"0100","14","COD_MUN","Código do município, conforme tabela IBGE.","N","007*","N","int","False",""
"0110","2","COD_INC_TRIB","Código indicador da incidência tributária no período: 1 – Escrituração de operações com incidência exclusivamente no regime não-cumulativo; 2 – Escrituração de operações com incidência exclusivamente no regime cumulativo; 3 – Escrituração de operações com incidência nos regimes não-cumulativo e cumulativo.","N","001 *","S","int","True",""
"0110","3","IND_APRO_CRED","Código indicador de método de apropriação de créditos comuns, no caso de incidência no regime não-cumulativo (COD_INC_TRIB = 1 ou 3): 1 – Método de Apropriação Direta; 2 – Método de Rateio Proporcional (Receita Bruta)","N","001 *","N","int","False",""
"0110","4","COD_TIPO_CONT","Código indicador do Tipo de Contribuição Apurada no Período 1 – Apuração da Contribuição Exclusivamente a Alíquota Básica 2 – Apuração da Contribuição a Alíquotas Específicas (Diferenciadas e/ou por Unidade de Medida de Produto)","N","001 *","N","int","False",""
"0110","5","IND_REG_CUM","Código indicador do critério de escrituração e apuração adotado, no caso de incidência exclusivamente no regime cumulativo (COD_INC_TRIB = 2), pela pessoa jurídica submetida ao regime de tributação com base no lucro presumido: 1 – Regime de Caixa – Escrituração consolidada (Registro F500); 2 – Regime de Competência - Escrituração consolidada (Registro F550); 9 – Regime de Competência - Escrituração detalhada, com base nos registros dos Blocos “A”, “C”, “D” e “F”.","N","001 *","N","int","False",""
"0111","2","REC_BRU_NCUM_TRIB_MI","Receita Bruta Não-Cumulativa - Tributada no Mercado Interno","N","","S","float","True","02"
"0111","3","REC_BRU_NCUM_NT_MI","Receita Bruta Não-Cumulativa – Não Tributada no Mercado Interno (Vendas com","N","","S","float","True","02"
"0111","4","REC_BRU_NCUM_EXP","Receita Bruta Não-Cumulativa – Exportação","N","","S","float","True","02"
"0111","5","REC_BRU_CUM","Receita Bruta Cumulativa","N","","S","float","True","02"
"0111","6","REC_BRU_TOTAL","Receita Bruta Total","N","","S","float","True","02"
"0120","2","MES_REFER","Mês de referência do ano-calendário da escrituração  sem dados, dispensada da entrega. Campo a ser preenchido no formato “mmaaaa”","C","006*","S","char","True",""
"0120","3","INF_COMP","Informação complementar do registro. No caso de escrituração sem dados, deve ser informado o real motivo dessa situação, conforme indicadores abaixo: 01 - Pessoa jurídica imune ou isenta do IRPJ 02 - Órgãos públicos, autarquias e fundações públicas 03 - Pessoa jurídica inativa 04 - Pessoa jurídica em geral, que não realizou operações geradoras de receitas (tributáveis ou não) ou de créditos 05 - Sociedade em Conta de Participação - SCP, que não realizou operações geradoras de receitas (tributáveis ou não) ou de créditos 06 - Sociedade Cooperativa, que não realizou operações geradoras de receitas (tributáveis ou não) ou de créditos 07 - Escrituração decorrente de incorporação, fusão ou cisão, sem operações geradoras de receitas (tributáveis ou não) ou de créditos 99 - Demais hipóteses de dispensa de escrituração, relacionadas no art. 5º, da IN RFB nº 1.252, de 2012","C","090","S","char","True",""
"0140","2","COD_EST","Código de identificação do estabelecimento","C","060","N","char","False",""
"0140","3","NOME","Nome empresarial do estabelecimento","C","100","S","char","True",""
"0140","4","CNPJ","Número de inscrição do estabelecimento no CNPJ.","N","014*","S","int","True",""
"0140","5","UF","Sigla da unidade da federação do estabelecimento.","C","002*","S","char","True",""
"0140","6","IE","Inscrição Estadual do estabelecimento, se contribuinte de ICMS.","C","014","N","char","False",""
"0140","7","COD_MUN","Código do município do domicílio fiscal do estabelecimento, conforme a tabela IBGE","N","007*","S","int","True",""
"0140","8","IM","Inscrição Municipal do estabelecimento, se contribuinte do ISS.","C","","N","char","False",""
"0140","9","SUFRAMA","Inscrição do estabelecimento na Suframa","C","009*","N","char","False",""
"0145","2","COD_INC_TRIB","Código indicador da incidência tributária no período: 1 – Contribuição Previdenciária apurada no período, exclusivamente com base na Receita Bruta; 2 – Contribuição Previdenciária apurada no período, com base na Receita Bruta e com base nas Remunerações pagas, na forma dos nos incisos I e III do art. 22 da Lei no 8.212, de 1991.","N","001*","S","int","True",""
"0145","3","VL_REC_TOT","Valor da Receita Bruta Total da Pessoa Jurídica no Período","N","","S","float","True","02"
"0145","4","VL_REC_ATIV","Valor da Receita Bruta da(s) Atividade(s) Sujeita(s) à Contribuição Previdenciária sobre a Receita Bruta","N","","S","float","True","02"
"0145","5","VL_REC_DEMAIS_ATIV","Valor da Receita Bruta da(s) Atividade(s) não Sujeita(s) à Contribuição Previdenciária sobre a Receita Bruta","N","","N","float","False","02"
"0145","6","INFO_COMPL","Informação complementar","C","","N","char","False",""
"0150","2","COD_PART","Código de identificação do participante no arquivo.","C","060","S","char","True",""
"0150","3","NOME","Nome pessoal ou empresarial do participante.","C","100","S","char","True",""
"0190","2","UNID","Código da unidade de medida","C","006","S","char","True",""
"0190","3","DESCR","Descrição da unidade de medida","C","","S","char","True",""
"0200","2","COD_ITEM","Código do item","C","060","S","char","True",""
"0200","3","DESCR_ITEM","Descrição do item","C","","S","char","True",""
"0200","4","COD_BARRA","Representação alfanumérico do código de barra do produto, se houver.","C","","N","char","False",""
"0200","5","COD_ANT_ITEM","Código anterior do item com relação à última informação apresentada.","C","060","N","char","False",""
"0200","6","UNID_INV","Unidade de medida utilizada na quantificação de estoques.","C","006","N","char","False",""
"0200","7","TIPO_ITEM","Tipo do item – Atividades Industriais, Comerciais e Serviços: 00 – Mercadoria para Revenda; 01 – Matéria-Prima; 02 – Embalagem; 03 – Produto em Processo; 04 – Produto Acabado; 05 – Subproduto; 06 – Produto Intermediário; 07 – Material de Uso e Consumo; 08 – Ativo Imobilizado; 09 – Serviços; 10 – Outros insumos; 99 – Outras","N","002*","S","int","True",""
"0200","8","COD_NCM","Código da Nomenclatura Comum do Mercosul","C","008","N","char","False",""
"0200","9","EX_IPI","Código EX, conforme a TIPI","C","003","N","char","False",""
"0200","10","COD_GEN","Código do gênero do item, conforme a Tabela 4.2.1.","N","002*","N","int","False",""
"0200","11","COD_LST","Código do serviço conforme lista do Anexo I da Lei Complementar Federal nº 116/03.","N","004","N","int","False",""
"0200","12","ALIQ_ICMS","Alíquota de ICMS aplicável ao item nas operações internas","N","006","N","float","False","02"
"0205","2","DESCR_ANT_ITEM","Descrição anterior do item","C","","N","char","False",""
"0205","3","DT_INI","Data inicial de utilização da descrição do item","N","008*","S","date","True",""
"0205","4","DT_FIM","Data final de utilização da descrição do item","N","008*","S","date","True",""
"0206","2","COD_COMB","Código do combustível, conforme tabela publicada pela ANP","C","","S","char","True",""
"0208","2","COD_TAB","Código indicador da Tabela de Incidência, conforme Anexo III do Decreto nº 6.707/08: 01 – Tabela I 02 – Tabela II 03 – Tabela III 04 – Tabela IV 05 – Tabela V 06 – Tabela VI 07 – Tabela VII 08– Tabela VIII 09 – Tabela IX 10 – Tabela X 11 – Tabela XI 12 – Tabela XII","","C","","","","002"
"0208","3","COD_GRU","Código do grupo, conforme Anexo III do Decreto nº 6.707/08.","","C","","","","002"
"0208","4","MARCA_COM","Marca Comercial","","C","","","","060"
"0400","2","COD_NAT","Código da natureza da operação/prestação","C","010","S","char","True",""
"0450","2","COD_INF","Código da informação complementar do documento fiscal.","C","006","S","char","True",""
"0450","3","TXT","Texto livre da informação complementar existente no documento fiscal, inclusive espécie de normas legais, poder normativo, número, capitulação, data e demais referências pertinentes com indicação referentes ao tributo.","C","","S","char","True",""
"0500","2","DT_ALT","Data da inclusão/alteração","N","008*","S","date","True",""
"0500","3","COD_NAT_CC","Código da natureza da conta/grupo de contas: 01 - Contas de ativo 02 - Contas de passivo; 03 - Patrimônio líquido; 04 - Contas de resultado; 05 - Contas de compensação; 09 - Outras.","C","002*","S","char","True",""
"0500","4","IND_CTA","Indicador do tipo de conta: S - Sintética (grupo de contas); A - Analítica (conta).","C","001*","S","char","True",""
"0500","5","NÍVEL","Nível da conta analítica/grupo de contas.","N","005","S","int","True",""
"0500","6","COD_CTA","Código da conta analítica/grupo de contas.","C","255","S","char","True",""
"0500","7","NOME_CTA","Nome da conta analítica/grupo de contas.","C","060","S","char","True",""
"0500","8","COD_CTA_REF","Código da conta correlacionada no Plano de Contas Referenciado, publicado pela RFB.","C","060","N","char","False",""
"0500","9","CNPJ_EST","CNPJ do estabelecimento, no caso da conta informada no campo COD_CTA ser específica de um estabelecimento.","N","014*","N","int","False",""
"0600","2","DT_ALT","Data da inclusão/alteração.","N","008*","S","date","True",""
"0600","3","COD_CCUS","Código do centro de custos.","C","255","S","char","True",""
"0600","4","CCUS","Nome do centro de custos.","C","060","S","char","True",""
"0900","2","REC_TOTAL_BLOCO_A","Receita total referente aos registros escriturados no Bloco A","N","","S","float","True","02"
"0900","3","REC_NRB_BLOCO_A","Parcela da receita total escriturada no Bloco A (Campo 02), não classificada como receita bruta","N","","N","float","False","02"
"0900","4","REC_TOTAL_BLOCO_C","Receita total referente aos registros escriturados no Bloco C","N","","S","float","True","02"
"0900","5","REC_NRB_BLOCO_C","Parcela da receita total escriturada no Bloco C (Campo 04), não classificada como receita bruta","N","","N","float","False","02"
"0900","6","REC_TOTAL_BLOCO_D","Receita total referente aos registros escriturados no Bloco D","N","","S","float","True","02"
