"Register","Page","Nº","Campo","Descrição","Tipo","Tamanho","Decimal","Valores Válidos","Obrigatório","Regras de Validação do Campo"
"0000","52","01","REG","Texto fixo contendo “0000”.","C","004","-","“0000”","Sim","-"
"0000","52","02","LECD","Texto fixo contendo “LECD”.","C","004","-","“LECD”","Sim","-"
"0000","52","03","DT_INI","Data inicial das informações contidas no arquivo.","N","008","-","-","Sim","[ [REGRA_DATA_INI_ MAIOR] REGRA_INICIO_ PERIODO]"
"0000","52","04","DT_FIN","Data final das informações contidas no arquivo.","N","008","-","-","Sim","[REGRA_FIM_ PERIODO]"
"0000","52","05","NOME","Nome empresarial da pessoa jurídica.","C","-","-","-","Sim","-"
"0000","52","06","CNPJ","Número de inscrição da pessoa jurídica no CNPJ. Observação: Esse CNPJ é sempre da Sócia Ostensiva, no caso do arquivo da SCP.","N","014","-","-","Sim","[REGRA_VALIDA_ CNPJ]"
"0000","52","07","UF","Sigla da unidade da federação da pessoa jurídica.","C","002","-","-","Sim","[REGRA_TABELA_UF]"
"0000","52","08","IE","Inscrição Estadual da pessoa jurídica.","C","-","-","-","Não","[REGRA_CAMPO_ CARACTERE_ INVALIDO]"
"0000","52","09","COD_MUN","Código do município do domicílio fiscal da pessoa jurídica, conforme tabela do IBGE – Instituto Brasileiro de Geografia e Estatística.","N","007","-","-","Não","[ [REGRA_TABELA_ MUNICIPIO] REGRA_COD_ MUN_INV_UF]"
"0000","53","10","IM","Inscrição Municipal da pessoa jurídica.","C","-","-","-","Não","[REGRA_CAMPO_ CARACTERE_ INVALIDO]"
"0000","53","11","IND_SIT_ESP","Indicador de situação especial (conforme tabela publicada pelo Sped).","N","1","-","-","Não","[REGRA_TABELA_ SITUACAO]"
"0000","53","12","IND_SIT_INI _PER","Indicador de situação no início do período (conforme tabela publicada pelo Sped).","N","1","-","-","Sim","[REGRA_TABELA_ SIT_INICIO_PER]"
"0000","53","13","IND_NIRE","Indicador de existência de NIRE: 0 – Empresa não possui registro na Junta Comercial (não possui NIRE) 1 – Empresa possui registro na Junta Comercial (possui NIRE)","N","1","-","[0,1]","Sim","-"
"0000","53","14","IND_FIN_ESC","Indicador de finalidade da escrituração: 0 - Original 1 – Substituta","N","1","-","[0,1]","Sim",""
"0000","53","15","COD_HASH_ SUB","Hash da escrituração substituída.","C","40","-","-","Não","[ [REGRA_HASH_ SUBSTITUIDA] REGRA_VALIDA_ HEXADECIMAL]"
"0000","53","16","IND_GRANDE_PORTE","Indicador de entidade sujeita a auditoria independente: 0 – Empresa não é entidade sujeita a auditoria independente. 1 – Empresa é entidade sujeita a auditoria independente – Ativo Total superior a R$ 240.000.000,00 ou Receita Bruta Anual superior R$300.000.000,00.","N","001","-","[0; 1]","Sim","-"
"0000","53","17","TIP_ECD","Indicador do tipo de ECD: 0 – ECD de empresa não participante de SCP como sócio ostensivo. 1 – ECD de empresa participante de SCP como sócio ostensivo. 2 – ECD da SCP.","N","001","-","[0; 1; 2]","Sim",""
"0000","54","18","COD_SCP","CNPJ da SCP (Art. 4º, XVII, da IN RFB nº 1.634, de 6 de maio de 2016). Observação: Só deve ser preenchido pela própria SCP com o CNPJ da SCP (Não é preenchido pelo sócio ostensivo).","N","014","-","","Não","[ [ [ [REGRA_SCP_ OBRIGATORIO] REGRA_SCP_NAO_ PREENCHER] REGRA_CNPJ_ DIFERENTE_ SCP] REGRA_VALIDA_ CNPJ]"
"0000","54","19","IDENT_MF","Identificação de moeda funcional: Indica que a escrituração abrange valores com base na moeda funcional (art. 287 da Instrução Normativa RFB nº 1.700, de 14 de março de 2017). Observação: Deverá ser utilizado o registro I020 para informação de campos adicionais, conforme instruções do item 1.24.","C","001","-","[S; N]","Sim","-"
"0000","54","20","IND_ESC_CONS","Escriturações Contábeis Consolidadas: (Deve ser preenchido pela empresa controladora obrigada a informar demonstrações contábeis consolidadas, nos termos da Lei nº 6.404/76 e/ou do Pronunciamento Técnico CPC 36 – Demonstrações Consolidadas) S – Sim N – Não","C","001","-","[S; N]","Sim","[REGRA_CONGLOME RADO_MES_12]"
"0000","54","21","IND_CENTRALIZADA","Indicador da modalidade de escrituração centralizada ou descentralizada: 0 – Escrituração Centralizada 1 – Escrituração Descentralizada","N","001","-","[0;1]","Sim","-"
"0000","55","22","IND_MUDANC_PC","Indicador de mudança de plano de contas: 0 – Não houve mudança no plano de contas. 1 – Houve mudança no plano de contas.","N","001","-","[0;1]","Sim","-"
"0000","55","23","COD_PLAN_REF","Código do Plano de Contas Referencial que será utilizado para o mapeamento de todas as contas analíticas: 1 – PJ em Geral – Lucro Real 2 – PJ em Geral – Lucro Presumido 3 – Financeiras – Lucro Real 4 – Seguradoras – Lucro Real 5 – Imunes e Isentas em Geral 6 – Imunes e Isentas – Financeiras 7 – Imunes e Isentas – Seguradoras 8 – Entidades Fechadas de Previdência Complementar 9 – Partidos Políticos 10 – Financeiras – Lucro Presumido bservação: Caso a pessoa jurídica não realize o mapeamento para os planos referenciais na ECD, este campo deve ficar em branco.","C","2","-","[1; 2; 3; 4; 5; 6; 7; 8; 9; 10; '']","Não","-"
"0001","63","01","REG","Texto fixo contendo “0001”.","C","004","-","“0001”","Sim","-"
"0001","63","02","IND_DAD","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados.","N","001","-","[0,1]","Sim","-"
"0007","64","01","REG","Texto fixo contendo “0007”.","C","004","-","“0007”","Sim","-"
"0007","64","02","COD_ENT _REF","Código da instituição responsável pela administração do cadastro (conforme tabela publicada pelo Sped).","C","-","-","-","Sim","[REGRA_TABELA_ INSTITUICOES_CADASTRO]"
"0007","64","03","COD_INSCR","Código cadastral da pessoa jurídica na instituição identificada no campo 02.","C","-","-","-","Não","[REGRA_VALIDA_ INSCRICAO]"
"0020","66","01","REG","Texto fixo contendo “0020”.","C","004","-","""0020""","Sim","-"
"0020","66","02","IND_DEC","Indicador de descentralização: 0 – Escrituração da matriz. 1 – Escrituração da filial.","N","001","-","[0,1]","Sim","[REGRA_CONGLOMERA DO_NA_MATRIZ]"
"0020","66","03","CNPJ","Número de inscrição da pessoa jurídica no CNPJ da matriz ou da filial.","N","014","-","-","Sim","[ [ [ [REGRA_VALIDA_CNPJ] REGRA_VERIFICA_CNPJ_ REG_0000_REG_0020] REGRA_REGISTRO_ DUPLICADO] REGRA_DUPLICIDADE_ CNPJ_REG_0000_REG_ 0020]"
"0020","66","04","UF","Sigla da unidade da federação da matriz ou da filial.","C","002","-","-","Sim","[REGRA_TABELA_UF]"
"0020","66","05","IE","Inscrição estadual da matriz ou da filial.","C","-","-","-","Não","[REGRA_CAMPO_ CARACTERE_INVALIDO]"
"0020","66","06","COD_MUN","Código do município do domicílio da matriz ou da filial.","N","007","-","-","Não","[REGRA_TABELA_ MUNICIPIO]"
"0020","66","07","IM","Número de Inscrição Municipal da matriz ou da filial.","C","-","-","-","Não","[REGRA_CAMPO_ CARACTERE_INVALIDO]"
"0020","66","08","NIRE","Número de Identificação do Registro de Empresas da matriz ou da filial na Junta Comercial.","N","11","-","-","Não","[REGRA_VALIDA_NIRE]"
"0035","69","1","REG","Texto fixo contendo “0035”.","C","004","-","[0035]","Sim","-"
"0035","69","2","COD_SCP","CNPJ da SCP (Art. 4º, XVII, da Instrução Normativa RFB nº 1.634, de 6 de maio de 2016).","C","014","-","-","Sim","[REGRA_CNPJ_ DIFERENTE_SCP]"
"0035","69","3","NOME_SCP","Nome da SCP","C","-","-","-","Não","-"
"0150","70","01","REG","Texto fixo contendo “0150”.","C","004","-","""0150""","Sim","-"
"0150","70","02","COD_PART","Código de identificação do participante no arquivo criado pela própria pessoa jurídica.","C","-","-","-","Sim","[REGRA_REGISTRO_ DUPLICADO]"
"0150","70","03","NOME","Nome pessoal ou empresarial do participante.","C","-","-","-","Sim","-"
"0150","70","04","COD_PAIS","Código do país do participante, conforme a tabela do Banco Central do Brasil.","N","005","-","-","Sim","[REGRA_TABELA_PAIS]"
"0150","70","05","CNPJ","CNPJ do participante.","N","014","-","-","Não","[REGRA_VALIDA_CNPJ]"
"0150","70","06","CPF","CPF do participante.","N","011","-","-","Não","[REGRA_VALIDA_CPF]"
"0150","70","07","NIT","Número de Identificação do Trabalhador, Pis, Pasep, SUS.","N","011","-","-","Não","-"
