"Register","Page","Nº","Campo","Descrição","Tipo","Tamanho","Decimal","Valores Válidos","Obrigatório"
"0000","56","1","REG","Texto fixo contendo a identificação do registro (0000).","C","4","-","[0000]","Sim"
"0000","56","2","NOME_ESC","Texto fixo contendo a identificação do tipo de Sped (LECF).","C","4","-","[LECF]","Sim"
"0000","56","3","COD_VER","Código da versão do leiaute. Observação: Para o ano-calendário 2021 e situações especiais de 2022, o leiaute é o 0008.","C","4","-","-","Sim"
"0000","56","4","CNPJ","Preencher este campo com o número de inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ) do declarante. Observação: No caso de arquivo de Sociedade em Conta de Participação (SCP), deve ser informado neste campo o CNPJ do sócio ostensivo. O CNPJ da SCP, no caso de arquivo da SCP, será informado no campo 0000.COD_SCP.","N","14","-","-","Sim"
"0000","56","5","NOME","Nome empresarial da pessoa jurídica ou da Sociedade em Conta de Participação (SCP).","C","-","-","-","Sim"
"0000","56","6","IND_SIT_INI_PER","Indicador do Início do Período: 0 – Regular (Início no primeiro dia do ano). 1 – Abertura (Início de atividades no ano-calendário). 2 – Resultante de cisão/fusão ou remanescente de cisão, ou realizou incorporação. 3 – Resultante de Mudança de Qualificação da Pessoa Jurídica. 4 – Início de obrigatoriedade da entrega no curso do ano calendário. (Exemplo: Exclusão do Simples Nacional ou desenquadramento como imune ou isenta do IRPJ)","N","1","-","[0; 1; 2; 3; 4]","Sim"
"0000","56","7","SIT_ESPECIAL","Indicador de Situação Especial e Outros Eventos: 0 – Normal (Sem ocorrência de situação especial ou evento) 1 – Extinção 2 – Fusão 3 – Incorporação \ Incorporada 4 – Incorporação \ Incorporadora 5 – Cisão Total 6 – Cisão Parcial 7 – Mudança de Qualificação da Pessoa Jurídica 8 – Desenquadramento de Imune/Isenta; 9 – Inclusão no Simples Nacional","C","1","-","[0; 1; 2; 3; 4; 5; 6; 7; 8; 9]","Sim"
"0000","57","8","PAT_REMAN_CIS","Patrimônio Remanescente em Caso de Cisão (%). Observação: Necessário para o controle de saldos na conta da parte B do LALUR.","N","8","4","[0 a 100]","Não"
"0000","57","9","DT_SIT_ESP","Data da Situação Especial ou Evento: Informar a data da deliberação do evento ou, em caso de extinção da pessoa jurídica, a data em que se ultimou a sua liquidação.","N","8","-","-",""
"0000","57","10","DT_INI","Data do Início do Período: Data inicial das informações contidas no arquivo. Este campo deve ser preenchido com a data inicial do período correspondente ao ano- calendário a que se referir a ECF.","N","8","-","-","Sim"
"0000","57","11","DT_FIN","Data do Fim do Período: Data final das informações contidas no arquivo. A data correspondente ao período final é 31 de dezembro, no caso de situação normal. Nos demais casos, o período final é deve ser com base na data do evento. Atenção: Considera-se período final, nos casos de situação especial, as seguintes datas: a) Extinção: A data em que se ultimou a liquidação da pessoa jurídica; b) Fusão, Incorporação/Incorporada, Incorporação/Incorporadora, Cisão Total, Cisão Parcial e Inclusão no Simples Nacional: A data da deliberação do evento de incorporação, fusão ou cisão.","N","8","-","-","Sim"
"0000","57","12","RETIFICADORA","A pessoa jurídica deve assinalar este campo no caso de escrituração retificadora ou escrituração com mudança de forma de tributação: S – ECF retificadora N – ECF original F – ECF original com mudança de forma de tributação (Art. 6º-A, § 2º, da Instrução Normativa RFB nº 1.422/2013). A pessoa jurídica poderá efetuar a remessa de arquivo em retificação ao arquivo anteriormente remetido, observando-se a permissão, as regras e prazos estabelecidos pela Secretaria da Receita Federal do Brasil (RFB). Atenção: A substituição das ECF já transmitidas deverá ser feita na sua íntegra, pois a ECF não aceita arquivos complementares para o mesmo período informado. Como há controle de saldos, se houver substituição de uma ECF, pode haver a necessidade de substituição de ECF já transmitidas de anos posteriores.","C","1","-","[S; N; F]","Sim"
"0000","57","13","NUM_REC","Número do Recibo da ECF Anterior (hashcode): Este campo deve ser preenchido com o número constante no recibo de entrega da última ECF transmitida, nos casos de 0000.RETIFICADORA = “S” ou “F”.","C","41","-","-","Não"
"0000","58","14","TIP_ECF","Indicador do Tipo da ECF: 0 – ECF de empresa não participante de SCP como sócio ostensivo. 1 – ECF de empresa participante de SCP como sócio ostensivo. 2 – ECF da SCP.","N","1","-","[0; 1; 2]","Sim"
"0000","58","15","COD_SCP","CNPJ da SCP (Art. 4º, XVII, da Instrução Normativa RFB nº 1.634, de 6 de maio de 2016). Observação: Só deve ser preenchido pela própria SCP (Não é preenchido pelo sócio ostensivo).","N","14","-","-","Não"
"0001","62","1","REG","Texto fixo contendo a identificação do registro (0001).","C","4","-","[0001]","Sim"
"0001","62","2","IND_DAD","Indicador de movimento: 0 – Bloco com dados informados. 1 – Bloco sem dados informados.","N","1","-","[0;1]","Sim"
"0010","63","1","REG","Texto fixo contendo a identificação do registro (0010).","C","4","-","[0010]","Sim"
"0010","63","2","HASH_ECF_ANTERIOR","Hashcode da ECF do período imediatamente anterior a ser recuperado. Campo preenchido automaticamente pelo sistema.","C","40","-","-","Não"
"0010","63","3","OPT_REFIS","Indicador de Optante pelo Refis: S - Sim N – Não A pessoa jurídica deve assinalar este campo quando for optante pelo Programa de Recuperação Fiscal (Refis). Atenção: Este campo só deve ser assinalado pela pessoa jurídica optante pelo Programa de Recuperação Fiscal (Refis), instituído pela Lei nº 9.964, de 10 de abril de 2000, e que dele não tenha sido excluída. A pessoa jurídica que for apenas optante pelo Parcelamento Especial (Paes) de que trata a Lei nº 10.684, de 30 de maio de 2003, e outros reparcelamentos não deve assinalar este campo.","C","1","-","[S;N]","Sim"
"0010","63","4","FORMA_TRIB","Forma de Tributação: 1 – Lucro Real. 2 – Lucro Real/Arbitrado. 3 – Lucro Presumido/Real. 4 – Lucro Presumido/Real/Arbitrado. 5 – Lucro Presumido.","N","1","-","[1;2;3;4;5;6;7;8;9]","Sim"
"0010","65","5","FORMA_APUR","Indicador do Período de Apuração do IRPJ e da CSLL: T – Trimestral A – Anual","C","1","-","[T;A]","Não"
"0010","65","6","COD_QUALIF_PJ","Qualificação da Pessoa Jurídica: 01 – PJ em Geral 02 – PJ Componente do Sistema Financeiro 03 – Sociedades Seguradoras, de Capitalização ou Entidade Aberta de Previdência Complementar Atenção: Não preencher no caso de imunes e isentas (preencher o 0010.TIP_ENT).","C","2","-","[01;02;03]","Não"
"0010","65","7","FORMA_TRIB_PER","Forma de Tributação no Período: Forma de tributação no período considerando para cada trimestre no formato XXXX onde X é igual a: 0 – ZERO – Não informado – trimestre não compreendido no período de apuração. R – Real P – Presumido A – Arbitrado E – Real Estimativa (somente utilizado no caso da observação abaixo). Observação: Caso 0010.FORMA_TRIB seja igual “3” (Presumido/Real) ou “4” (Presumido/Real/Arbitrado) e houver opção pelo REFIS (0010.OPT_REFIS), o período tributado pelo lucro real deve ter somente a forma de apuração trimestral (Caso em que deve ser utilizado “R” em 0010.FORMA_TRIB_PER) ou somente a forma de apuração correspondente à anual/estimativa (Caso em que deve ser utilizado “E” em 0010.FORMA_TRIB_PER) .","C","4","-","[0;R;P;A;E]","Não"
"0010","66","8","MES_BAL_RED","Forma de Apuração da Estimativa Mensal: Indicação da forma de apuração da estimativa mensal, quando 0010.FORMA_APUR = “A”, considerando o formato XXXXXXXXXXXX onde X é referente a um mês e é igual a: 0 – Fora do Período: Fora do período de apuração/ Forma de tributação diferente de “R” ou “E”. E – Receita Bruta: Estimativa com base na receita bruta e acréscimos. B – Balanço ou Balancete: Estimativa com base no balanço ou balancete de suspensão/redução. Os meses correspondentes a trimestres marcados em 0010.FORMA_TRIB_PER como diferente de “R” e “E” devem estar preenchidos com zero “0”. Os meses correspondentes a trimestres marcados em 0010.FORMA_TRIB_PER iguais a “R” ou “E” devem estar preenchidos com “E” ou “B”.","C","12","-","[0;E;B]","Não"
"0010","66","9","TIP_ESC_PRE","A Escrituração: C – Obrigada a entregar a ECD ou entrega facultativa (haverá recuperação dos dados). L – Não obrigada a entregar a ECD/Livro Caixa (Opção do Lucro Presumido - parágrafo único do art. 45 da Lei nº 8.981, de 1995). tenção: - Este campo deve ser preenchido pelas pessoas jurídicas tributadas pelo lucro presumido e as imunes ou isentas. - Caso a pessoa jurídica entregue a ECD facultativamente e não queira recuperar os dados da ECD, deve utilizar a opção “L”.","C","1","-","[L;C]","Não"
"0010","67","10","TIP_ENT","C C C C C Tipo de Pessoa Jurídica Imune ou Isenta: 01 – Assistência Social 02 – Educacional 03 – Sindicato de Trabalhadores 04 – Associação Civil 05 – Cultural 06 – Entidade Fechada de Previdência Complementar 07 – Filantrópica 08 – Sindicato 09 – Recreativa 10 – Científica 11 – Associação de Poupança e Empréstimo 12 – Entidade Aberta de Previdência Complementar (Sem Fins Lucrativos) 13 – Fifa e Entidades Relacionadas 14 – CIO e Entidades Relacionadas 15 – Partidos Políticos 99 – Outras. Observação: Este campo é obrigatório para 0010.FORMA_TRIB igual a “8” (Imune do IRPJ) ou “9” (Isenta do IRPJ). aso 0010.TIP_ENT = “01”, “02”, “03”, “04”, “05”, “07”, “08”, “09”, “10”, “13”, “14” ou “99”, os planos referenciais serão U100A e U150A. aso 0010.TIP_ENT = “11”, os planos referenciais serão U100B e U150B. aso 0010.TIP_ENT = “12”, os planos referenciais serão U100C e U150C. aso 0010.TIP_ENT = “06”, os planos referenciais serão U100D e U150D. aso 0010.TIP_ENT = “15”, os planos referenciais serão U100E e U150E.","N","2","-","[01;02;03;04;05;06 ;07;08;09;10;11;12 ;13;14;15;99]","Não"
"0010","68","11","FORMA_APUR_I","Apuração do IRPJ para Imunes ou Isentas: Existência ou não de atividade não abrangida pela imunidade ou isenção e tributada pelo IRPJ (para imunes ou isentas): A – Anual T – Trimestral D – Desobrigada","C","1","-","[A;T;D]","Não"
"0010","68","12","APUR_CSLL","Apuração da CSLL para Imunes ou Isentas: A – Anual, se optou pela apuração da CSLL sobre a base de cálculo estimada, facultada a opção pelo levantamento de balanço ou balancete de suspensão ou redução. T – Trimestral, no caso de ter adotado a apuração trimestral da CSLL. D – Desobrigada, na hipótese de pessoa jurídica imune ou isenta da CSLL. Atenção: 1) As entidades sem fins lucrativos de que trata o inciso I do art. 12 do Decreto nº 3.048, de 6 de maio de 1999, que não se enquadram na imunidade e isenção da Lei nº 9.532, de 10 de dezembro de 1997, estão sujeitas à CSLL, devendo apurar a base de cálculo e a contribuição devida nos termos da legislação comercial. 2) As associações de poupança e empréstimo devem apurar a contribuição social sobre o lucro líquido. 3) São isentas da CSLL as entidades fechadas de previdência complementar, relativamente aos fatos geradores ocorridos a partir de 1º de janeiro de 2002. Observação: Este campo é obrigatório para 0010.FORMA_TRIB igual a “8” (Imune do IRPJ) ou “9” (Isenta do IRPJ).","C","1","-","[A;T;D]","Não"
"0010","68","13","IND_REC_RECEITA","Critério de reconhecimento de receitas para empresas tributadas pelo Lucro Presumido (Art. 215, § 9º, Instrução Normativa RFB nº 1.700/2017): 1. Regime de caixa 2. Regime de competência","N","1","-","[1;2]","Não"
"0020","72","1","REG","Texto fixo contendo a identificação do registro (0020).","C","4","-","[0020]","Sim"
"0020","72","2","IND_ALIQ_CSLL","PJ Sujeita à Alíquota da CSLL de 9% ou 15% ou 20%: 1 – Alíquota de 9% 5 – Alíquota de 20%-25% 6 – Alíquota de 15%-20%","N","1","-","[1;3;4]","Sim"
"0020","72","3","IND_QTE_SCP","Quantidade total de SCP do Sócio Ostensivo de SCP.","N","3","-","-","Sim"
"0020","72","4","IND_ADM_FUN_CLU","Administradora de Fundos e Clubes de Investimento: S – Sim N – Não","C","1","-","[S;N]","Sim"
"0020","72","5","IND_PART_CONS","Participações em Consórcios de Empresas: S – Sim N – Não A pessoa jurídica participante de consórcio constituído nos termos do disposto nos arts. 278 e 279 da Lei nº 6.404, de 15 de dezembro de 1976, deve assinalar este campo. Atenção: Somente deve ser assinalado este campo quando houver receita de pelo menos uma consorciada.","C","1","-","[S;N]","Sim"
"0020","73","6","IND_OP_EXT","Operações com o Exterior: S – Sim N – Não A pessoa jurídica, inclusive instituição financeira ou companhia seguradora, conforme relacionadas no § 1º do art. 22 da Lei nº 8.212, de 1991, e no inciso II do art. 14 da Lei nº 9.718, de 1998, que realizou exportação/importação de bens, serviços ou direitos ou auferiu receitas financeiras ou incorreu em despesas financeiras em operações efetuadas com pessoa física ou jurídica residente ou domiciliada no exterior, ainda que essas operações não tenham sido realizadas com pessoa vinculada ou com pessoa residente ou domiciliada em país ou dependência com tributação favorecida ou cuja legislação interna oponha sigilo relativo à composição societária de pessoas jurídicas ou a sua titularidade, deve assinalar este campo. Deve também assinalar este campo a pessoa jurídica, inclusive instituição financeira ou companhia seguradora, que realizar as operações acima referidas por intermédio de interposta pessoa.","C","1","-","[S;N]","Sim"
