"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"0300","42","01","REG","Texto fixo contendo ""0300""","C","004*","-","O","",""
"0300","42","02","COD_IND_BEM","Código individualizado do bem ou componente adotado no controle patrimonial do estabelecimento informante","C","060","-","O","",""
"0300","42","03","IDENT_MERC","Identificação do tipo de mercadoria: 1 = bem; 2 = componente.","C","001*","-","O","",""
"0300","42","04","DESCR_ITEM","Descrição do bem ou componente (modelo, marca e outras características necessárias a sua individualização)","C","-","-","O","",""
"0300","42","05","COD_PRNC","Código de cadastro do bem principal nos casos em que o bem ou componente ( campo 02) esteja vinculado a um bem principal.","C","060","-","OC","",""
"0300","42","06","COD_CTA","Código da conta analítica de contabilização do bem ou componente (campo 06 do Registro 0500)","C","060","-","O","",""
"0300","42","07","NR_PARC","Número total de parcelas a serem apropriadas, segundo a legislação de cada unidade federada","N","003","-","OC","",""
"0305","43","01","REG","Texto fixo contendo ""0305""","C","004*","-","O","",""
"0305","43","02","COD_CCUS","Código do centro de custo onde o bem está sendo ou será utilizado (campo 03 do Registro 0600)","C","060","-","O","",""
"0305","43","03","FUNC","Descrição sucinta da função do bem na atividade do estabelecimento","C","-","-","O","",""
"0305","43","04","VIDA_UTIL","Vida útil estimada do bem, em número de meses","N","003","-","OC","",""
"0500","45","01","REG","Texto fixo contendo “0500”","C","004*","-","O","",""
"0500","45","02","DT_ALT","Data da inclusão/alteração","N","008*","-","O","",""
"0500","45","03","COD_ NAT_CC","Código da natureza da conta/grupo de contas: 01 - Contas de ativo; 02 - Contas de passivo; 03 - Patrimônio líquido; 04 - Contas de resultado; 05 - Contas de compensação; 09 - Outras.","C","002*","-","O","",""
"0500","45","04","IND_CTA","Indicador do tipo de conta: S - Sintética (grupo de contas); A - Analítica (conta).","C","001*","-","O","",""
"0500","45","05","NÍVEL","Nível da conta analítica/grupo de contas.","N","005","-","O","",""
"0500","45","06","COD_CTA","Código da conta analítica/grupo de contas.","C","60","-","O","",""
"0500","45","07","NOME_CTA","Nome da conta analítica/grupo de contas.","C","60","-","O","",""
"0600","46","01","REG","Texto fixo contendo “0600”.","C","004*","-","O","",""
"0600","46","02","DT_ALT","Data da inclusão/alteração.","N","008*","-","O","",""
"0600","46","03","COD_CCUS","Código do centro de custos.","C","060","-","O","",""
"0600","46","04","CCUS","Nome do centro de custos.","C","060","-","O","",""
"G001","250","01","REG","Texto fixo contendo ""G001""","C","004*","-","O","",""
"G001","250","02","IND_MOV","Indicador de movimento: 0- Bloco com dados informados; 1- Bloco sem dados informados","C","001*","-","O","",""
