"Register","Page","Nº","Campo","Descrição","Tipo","Tamanho","Decimal","Valores Válidos","Obrigatório"
"0000","59","1","REG","Texto fixo contendo a identificação do registro (0000).","C","4","-","[0000]","Sim"
"0000","59","2","NOME_ESC","Texto fixo contendo a identificação do tipo de Sped (LECF).","C","4","-","[LECF]","Sim"
"0000","59","3","COD_VER","Código da versão do leiaute. Observação: Para o ano-calendário 2024 e situações especiais de 205, o leiaute é o 0011.","C","4","-","-","Sim"
"0000","59","4","CNPJ","Preencher este campo com o número de inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ) do declarante. Observação: No caso de arquivo de Sociedade em Conta de Participação (SCP), deve ser informado neste campo o CNPJ do sócio ostensivo. O CNPJ da SCP, no caso de arquivo da SCP, será informado no campo 0000.COD_SCP.","N","14","-","-","Sim"
"0000","59","5","NOME","Nome empresarial da pessoa jurídica ou da Sociedade em Conta de Participação (SCP).","C","-","-","-","Sim"
"0000","59","6","IND_SIT_INI_PER","Indicador do Início do Período: 0 – Regular (Início no primeiro dia do ano). 1 – Abertura (Início de atividades no ano-calendário). 2 – Resultante de fusão ou cisão total. 3 – Resultante de Mudança de Qualificação da Pessoa Jurídica. 4 – Início de obrigatoriedade da entrega no curso do ano calendário - Exclusão do Simples. 5 – Resultante de desenquadramento como imune ou isenta do IRPJ). 6 - Realizou incorporação ou remanescente de cisão parcial.","N","1","-","[0; 1; 2; 3; 4]","Sim"
"0000","60","7","SIT_ESPECIAL","Indicador de Situação Especial e Outros Eventos: 0 – Normal (Sem ocorrência de situação especial ou evento) 1 – Extinção 2 – Fusão 3 – Incorporação \ Incorporada 4 – Incorporação \ Incorporadora 5 – Cisão Total 6 – Cisão Parcial 7 – Mudança de Qualificação da Pessoa Jurídica 8 – Desenquadramento de Imune/Isenta; 9 – Inclusão no Simples Nacional","C","1","-","[0; 1; 2; 3; 4; 5; 6; 7; 8; 9]","Sim"
"0000","60","8","PAT_REMAN_CIS","Patrimônio Remanescente em Caso de Cisão (%). Observação: Necessário para o controle de saldos na conta da parte B do LALUR.","N","8","4","[0 a 100]","Não"
"0000","60","9","DT_SIT_ESP","Data da Situação Especial ou Evento: Informar a data da deliberação do evento ou, em caso de extinção da pessoa jurídica, a data em que se ultimou a sua liquidação.","N","8","-","-",""
"0000","60","10","DT_INI","Data do Início do Período: Data inicial das informações contidas no arquivo. Este campo deve ser preenchido com a data inicial do período correspondente ao ano- calendário a que se referir a ECF.","N","8","-","-","Sim"
"0000","60","11","DT_FIN","Data do Fim do Período: Data final das informações contidas no arquivo. A data correspondente ao período final é 31 de dezembro, no caso de situação normal. Nos demais casos, o período final é deve ser com base na data do evento. Atenção: Considera-se período final, nos casos de situação especial, as seguintes datas: a) Extinção: A data em que se ultimou a liquidação da pessoa jurídica; b) Fusão, Incorporação/Incorporada, Incorporação/Incorporadora, Cisão Total, Cisão Parcial e Inclusão no Simples Nacional: A data da deliberação do evento de incorporação, fusão ou cisão.","N","8","-","-","Sim"
"0000","61","12","RETIFICADORA","A pessoa jurídica deve assinalar este campo no caso de escrituração retificadora ou escrituração com mudança de forma de tributação: S – ECF retificadora N – ECF original F – ECF original com mudança de forma de tributação (Art. 7º, § 2º, da Instrução Normativa RFB nº 2.004/2021). A pessoa jurídica poderá efetuar a remessa de arquivo em retificação ao arquivo anteriormente remetido, observando-se a permissão, as regras e prazos estabelecidos pela Secretaria da Receita Federal do Brasil (RFB). Atenção: A substituição das ECF já transmitidas deverá ser feita na sua íntegra, pois a ECF não aceita arquivos complementares para o mesmo período informado. Como há controle de saldos, se houver substituição de uma ECF, pode haver a necessidade de substituição de ECF já transmitidas de anos posteriores.","C","1","-","[S; N; F]","Sim"
"0000","61","13","NUM_REC","Número do Recibo da ECF Anterior (hashcode): Este campo deve ser preenchido com o número constante no recibo de entrega da ECF a ser retificada, nos casos de 0000.RETIFICADORA = “S” ou “F”.","C","41","-","-","Não"
"0000","61","14","TIP_ECF","Indicador do Tipo da ECF: 0 – ECF de empresa não participante de SCP como sócio ostensivo. 1 – ECF de empresa participante de SCP como sócio ostensivo. 2 – ECF da SCP.","N","1","-","[0; 1; 2]","Sim"
"0000","61","15","COD_SCP","CNPJ da SCP (ANEXOS I e VIII, da Instrução Normativa RFB nº 2.119, de 08 de dezembro de 2022). Observação: Só deve ser preenchido pela própria SCP (Não é preenchido pelo sócio ostensivo).","N","14","-","-","Não"
"0001","66","1","REG","Texto fixo contendo a identificação do registro (0001).","C","4","-","[0001]","Sim"
"0001","66","2","IND_DAD","Indicador de movimento: 0 – Bloco com dados informados. 1 – Bloco sem dados informados.","N","1","-","[0;1]","Sim"
"0010","67","1","REG","Texto fixo contendo a identificação do registro (0010).","C","4","-","[0010]","Sim"
"0010","67","2","HASH_ECF_ANTERIOR","Hashcode da ECF do período imediatamente anterior a ser recuperado. Campo preenchido automaticamente pelo sistema.","C","40","-","-","Não"
"0010","67","3","OPT_REFIS","Indicador de Optante pelo Refis: S - Sim N – Não A pessoa jurídica deve assinalar este campo quando for optante pelo Programa de Recuperação Fiscal (Refis). Atenção: Este campo só deve ser assinalado pela pessoa jurídica optante pelo Programa de Recuperação Fiscal (Refis), instituído pela Lei nº 9.964, de 10 de abril de 2000, e que dele não tenha sido excluída. A pessoa jurídica que for apenas optante pelo Parcelamento Especial (Paes) de que trata a Lei nº 10.684, de 30 de maio de 2003, e outros reparcelamentos não deve assinalar este campo.","C","1","-","[S;N]","Sim"
"0010","67","4","FORMA_TRIB","Forma de Tributação: 1 – Lucro Real. 2 – Lucro Real/Arbitrado. 3 – Lucro Presumido/Real.","N","1","-","[1;2;3;4;5;6;7;8;9]","Sim"
"0010","69","5","FORMA_APUR","Indicador do Período de Apuração do IRPJ e da CSLL: T – Trimestral A – Anual","C","1","-","[T;A]","Não"
"0010","69","6","COD_QUALIF_PJ","Qualificação da Pessoa Jurídica: 01 – PJ em Geral 02 – PJ Componente do Sistema Financeiro 03 – Sociedades Seguradoras, de Capitalização ou Entidade Aberta de Previdência Complementar Atenção: Não preencher no caso de imunes e isentas (preencher o 0010.TIP_ENT).","C","2","-","[01;02;03]","Não"
