"register","index","code","type","required","values","length","xsd_type","decimal","spec_type","spec_values","spec_required","desc"
"0000","2","NOME_ESC","char","True","","4","","","C","[LECF]","Sim","Texto fixo contendo a identificação do tipo de Sped (LECF)."
"0000","3","COD_VER","char","True","","4","","","C","","Sim","Código da versão do leiaute. Observação: Para o ano-calendário 2021 e situações especiais de 2022, o leiaute é o 0008."
"0000","4","CNPJ","char","True","","14","numeric_code","","N","","Sim","Preencher este campo com o número de inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ) do declarante. Observação: No caso de arquivo de Sociedade em Conta de Participação (SCP), deve ser informado neste campo o CNPJ do sócio ostensivo. O CNPJ da SCP, no caso de arquivo da SCP, será informado no campo 0000.COD_SCP."
"0000","5","NOME","char","True","","","","","C","","Sim","Nome empresarial da pessoa jurídica ou da Sociedade em Conta de Participação (SCP)."
"0000","6","IND_SIT_INI_PER","char","True","['0', '1', '2', '3', '4']","1","numeric_code","","N","[0; 1; 2; 3; 4]","Sim","Indicador do Início do Período: 0 – Regular (Início no primeiro dia do ano). 1 – Abertura (Início de atividades no ano-calendário). 2 – Resultante de cisão/fusão ou remanescente de cisão, ou realizou incorporação. 3 – Resultante de Mudança de Qualificação da Pessoa Jurídica. 4 – Início de obrigatoriedade da entrega no curso do ano calendário. (Exemplo: Exclusão do Simples Nacional ou desenquadramento como imune ou isenta do IRPJ)"
"0000","7","SIT_ESPECIAL","char","True","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']","1","","","C","[0; 1; 2; 3; 4; 5; 6; 7; 8; 9]","Sim","Indicador de Situação Especial e Outros Eventos: 0 – Normal (Sem ocorrência de situação especial ou evento) 1 – Extinção 2 – Fusão 3 – Incorporação \ Incorporada 4 – Incorporação \ Incorporadora 5 – Cisão Total 6 – Cisão Parcial 7 – Mudança de Qualificação da Pessoa Jurídica 8 – Desenquadramento de Imune/Isenta; 9 – Inclusão no Simples Nacional"
"0000","8","PAT_REMAN_CIS","float","False","","8","","4","N","[0 a 100]","Não","Patrimônio Remanescente em Caso de Cisão (%). Observação: Necessário para o controle de saldos na conta da parte B do LALUR."
"0000","9","DT_SIT_ESP","date","","","8","","","N","","","Data da Situação Especial ou Evento: Informar a data da deliberação do evento ou, em caso de extinção da pessoa jurídica, a data em que se ultimou a sua liquidação."
"0000","10","DT_INI","date","True","","8","","","N","","Sim","Data do Início do Período: Data inicial das informações contidas no arquivo. Este campo deve ser preenchido com a data inicial do período correspondente ao ano- calendário a que se referir a ECF."
"0000","11","DT_FIN","date","True","","8","","","N","","Sim","Data do Fim do Período: Data final das informações contidas no arquivo. A data correspondente ao período final é 31 de dezembro, no caso de situação normal. Nos demais casos, o período final é deve ser com base na data do evento. Atenção: Considera-se período final, nos casos de situação especial, as seguintes datas: a) Extinção: A data em que se ultimou a liquidação da pessoa jurídica; b) Fusão, Incorporação/Incorporada, Incorporação/Incorporadora, Cisão Total, Cisão Parcial e Inclusão no Simples Nacional: A data da deliberação do evento de incorporação, fusão ou cisão."
