"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig","Entr","Saídas"
"0000","pva","1","REG","Texto fixo contendo “0000”","C","004*","","O","",""
"0000","pva","2","COD_VER","Código da versão do leiaute conforme Tabela Versão do Leiaute","N","003*","","O","",""
"0000","pva","3","COD_FIN","Código da finalidade do arquivo: 0 - Remessa do arquivo original; 1 - Remessa do arquivo substituto","N","001","","O","",""
"0000","pva","4","DT_INI","Data inicial das informações contidas no arquivo","D","008*","","O","",""
"0000","pva","5","DT_FIN","Data final das informações contidas no arquivo","D","008*","","O","",""
"0000","pva","6","NOME","Nome empresarial da entidade","C","100","","O","",""
"0000","pva","7","CNPJ","Número de inscrição da entidade no CNPJ","C","014*","","","",""
"0000","pva","8","CPF","Número de inscrição da pessoa natural no CPF","N","011*","","","",""
"0000","pva","9","UF","Sigla da unidade da federação da entidade","C","002*","","O","",""
"0000","pva","10","IE","Inscrição Estadual da entidade","C","014","","O","",""
"0000","pva","11","COD_MUN","Código do município do domicílio fiscal da entidade, conforme a tabela IBGE","N","007*","","O","",""
"0000","pva","12","IM","Inscrição Municipal da entidade","C","","","","",""
"0000","pva","13","SUFRAMA","Inscrição da entidade na SUFRAMA","C","009*","","","",""
"0000","pva","14","IND_PERFIL","Perfil de apresentação do arquivo fiscal; A – Perfil A; B – Perfil B; C – Perfil C","C","001","","O","",""
"0000","pva","15","IND_ATIV","Indicador de tipo de atividade: 0 – Industrial ou equiparado a industrial; 1 – Outras","N","001","","O","",""
"0001","pva","1","REG","Texto fixo contendo “0001”","C","004*","","O","",""
"0001","pva","2","IND_MOV","Indicador de movimento","N","001","","O","",""
"0002","pva","1","REG","Texto fixo contendo “0002”","C","004*","","OC","",""
"0002","pva","2","CLAS_ESTAB_IND","Informar a classificação do Contribuinte conforme tabela 4.5.5.","N","002*","","O","",""
"0005","pva","1","REG","Texto fixo contendo “0005”","C","004*","","O","",""
"0005","pva","2","FANTASIA","Nome de fantasia associado ao nome empresarial","C","060","","O","",""
"0005","pva","3","CEP","Código de Endereçamento Postal","N","008*","","O","",""
"0005","pva","4","ENDERECO","Logradouro do imóvel","C","060","","O","",""
"0005","pva","5","NUM","Número do imóvel","C","010","","","",""
"0005","pva","6","COMPL","Dados complementares do endereço","C","060","","","",""
"0005","pva","7","BAIRRO","Bairro em que o imóvel está situado","C","060","","O","",""
"0005","pva","8","FONE","Número do telefone","C","011","","","",""
