"register","index","code","type","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","length","xsd_type","decimal","spec_type","spec_required","desc"
"0000","2","COD_VER","char","True","","","","","","003*","numeric_code","","N","O","Código da versão do leiaute conforme Tabela Versão do Leiaute"
"0000","3","COD_FIN","char","True","","","","","","001","numeric_code","","N","O","Código da finalidade do arquivo: 0 - Remessa do arquivo original; 1 - Remessa do arquivo substituto"
"0000","4","DT_INI","date","True","","","","","","008*","","","D","O","Data inicial das informações contidas no arquivo"
"0000","5","DT_FIN","date","True","","","","","","008*","","","D","O","Data final das informações contidas no arquivo"
"0000","6","NOME","char","True","","","","","","100","","","C","O","Nome empresarial da entidade"
"0000","7","CNPJ","char","","","","","","","014*","","","C","","Número de inscrição da entidade no CNPJ"
"0000","8","CPF","char","","","","","","","011*","numeric_code","","N","","Número de inscrição da pessoa natural no CPF"
"0000","9","UF","char","True","","","","","","002*","","","C","O","Sigla da unidade da federação da entidade"
"0000","10","IE","char","True","","","","","","014","","","C","O","Inscrição Estadual da entidade"
"0000","11","COD_MUN","char","True","","","","","","007*","numeric_code","","N","O","Código do município do domicílio fiscal da entidade, conforme a tabela IBGE"
"0000","12","IM","char","","","","","","","","","","C","","Inscrição Municipal da entidade"
"0000","13","SUFRAMA","char","","","","","","","009*","","","C","","Inscrição da entidade na SUFRAMA"
"0000","14","IND_PERFIL","char","True","","","","","","001","","","C","O","Perfil de apresentação do arquivo fiscal; A – Perfil A; B – Perfil B; C – Perfil C"
"0000","15","IND_ATIV","char","True","","","","","","001","numeric_code","","N","O","Indicador de tipo de atividade: 0 – Industrial ou equiparado a industrial; 1 – Outras"
"0001","2","IND_MOV","char","True","","","","","","001","numeric_code","","N","O","Indicador de movimento"
"0002","2","CLAS_ESTAB_IND","char","True","","","","","","002*","numeric_code","","N","O","Informar a classificação do Contribuinte conforme tabela 4.5.5."
"0005","2","FANTASIA","char","True","","","","","","060","","","C","O","Nome de fantasia associado ao nome empresarial"
"0005","3","CEP","char","True","","","","","","008*","numeric_code","","N","O","Código de Endereçamento Postal"
"0005","4","ENDERECO","char","True","","","","","","060","","","C","O","Logradouro do imóvel"
"0005","5","NUM","char","","","","","","","010","","","C","","Número do imóvel"
"0005","6","COMPL","char","","","","","","","060","","","C","","Dados complementares do endereço"
"0005","7","BAIRRO","char","True","","","","","","060","","","C","O","Bairro em que o imóvel está situado"
"0005","8","FONE","char","","","","","","","011","","","C","","Número do telefone"
"0005","9","FAX","char","","","","","","","011","","","C","","Número do fax"
"0005","10","EMAIL","char","","","","","","","060","","","C","","Endereço do correio eletrônico"
"0015","2","UF_ST","char","True","","","","","","002*","","","C","O","Sigla da unidade da federação do contribuinte substituído ou unidade de federação do consumidor final não contribuinte - ICMS Destino EC 87/15"
"0015","3","IE_ST","char","True","","","","","","014","","","C","O","Inscrição Estadual do contribuinte substituto na unidade da federação do contribuinte substituído ou unidade de federação do consumidor final não contribuinte - ICMS Destino EC 87/15"
"0100","2","NOME","char","True","","","","","","060","","","C","O","Nome do contabilista"
"0100","3","CPF","char","True","","","","","","011*","numeric_code","","N","O","Número de inscrição do contabilista no CPF"
"0100","4","CRC","char","True","","","","","","015","","","C","O","Número de inscrição do contabilista no Conselho Regional de Contabilidade"
"0100","5","CNPJ","char","","","","","","","014*","","","C","","Número de inscrição do escritório de contabilidade no CNPJ, se houver"
"0100","6","CEP","char","","","","","","","008*","numeric_code","","N","","Código de Endereçamento Postal"
"0100","7","ENDERECO","char","","","","","","","060","","","C","","Logradouro do imóvel"
"0100","8","NUM","char","","","","","","","010","","","C","","Número do imóvel"
"0100","9","COMPL","char","","","","","","","060","","","C","","Dados complementares do endereço"
"0100","10","BAIRRO","char","","","","","","","060","","","C","","Bairro em que o imóvel está situado"
"0100","11","FONE","char","","","","","","","011","","","C","","Número do telefone"
"0100","12","FAX","char","","","","","","","011","","","C","","Número do fax"
"0100","13","EMAIL","char","True","","","","","","060","","","C","O","Endereço do correio eletrônico"
"0100","14","COD_MUN","char","True","","","","","","007*","numeric_code","","N","O","Código do município, conforme tabela IBGE"
"0150","2","COD_PART","char","True","","","","","","060","","","C","O","Código de identificação do participante no arquivo"
"0150","3","NOME","char","True","","","","","","100","","","C","O","Nome pessoal ou empresarial do participante"
"0150","4","COD_PAIS","char","True","","","","","","005","numeric_code","","N","O","Código do país do participante, conforme a tabela Órgãos mantenedores e endereços eletrônicos das tabelas externas - Tabela de Países"
"0150","5","CNPJ","char","","","","","","","014*","","","C","","CNPJ do participante"
"0150","6","CPF","char","","","","","","","011*","numeric_code","","N","","CPF do participante"
"0150","7","IE","char","","","","","","","014","","","C","","Inscrição Estadual do participante"
"0150","8","COD_MUN","char","","","","","","","007*","numeric_code","","N","","Código do município, conforme a tabela IBGE"
"0150","9","SUFRAMA","char","","","","","","","009*","","","C","","Número de inscrição do participante na SUFRAMA"
