"block","code","required","in_required","out_required","conditional_required","conditional_in_required","conditional_out_required","level","card","spec_required","desc"
"0","0000","True","","","","","","0","1:1","O","Dados Cadastrais do Informante"
"0","0001","True","","","","","","1","1:1","O","ABERTURA DO BLOCO 0"
"0","0002","","","","True","","","2","1:1","OC","Dados Complementares"
"0","0005","True","","","","","","2","1:1","O","Dados Complementares"
"0","0015","","","","","","","2","1:N","","Dados do Contribuinte Substituto ou Responsável pelo ICMS destino"
"0","0100","","","","True","","","2","1:1","OC","Dados do Contabilista"
"0","0150","","","","","","","2","1:N","","Clientes, Fornecedores e Outros"
"0","0175","","","","","","","3","1:N","","Alterações do Participante"
"0","0190","","","","","","","2","1:N","","Identificação das Unidades de Medida"
"0","0200","","","","","","","2","1:N","","Produtos, Serviços e Outros"
"0","0205","","","","","","","3","1:N","","Alterações do item"
"0","0206","","","","","","","3","1:1","","Código de Produto, Conforme Tabela Publicada Pela ANP"
"0","0220","","","","","","","3","1:N","","Fatores de Conversão de Unidades"
"0","0221","","","","","","","3","1:N","","Correlação entre Códigos de Itens Comercializados"
"0","0300","","","","","","","2","1:N","","Cadastro de Bens ou Componentes do Ativo Imobilizado"
"0","0305","","","","","","","3","1:1","","Informação sobre a Utilização do Bem"
"0","0400","","","","","","","2","1:N","","Livre Utilização pelo Contribuinte"
"0","0450","","","","","","","2","1:N","","Dados adicionais dos documentos fiscais"
"0","0460","","","","","","","2","1:N","","Dados adicionais da apuração"
"0","0500","","","","","","","2","1:N","","Plano de Contas Contábeis"
"0","0600","","","","","","","2","1:N","","Centro de Custos"
"0","0990","True","","","","","","1","1:1","O","ENCERRAMENTO DO BLOCO 0"
"B","B001","True","","","","","","1","1:1","O","ABERTURA DO BLOCO B"
"B","B020","","","","","","","2","1:N","","NF, NF Avulsa, NF Produtor, NF-e (ISS) e NF3e"
"B","B025","","","","","","","3","1:N","","Detalhamento por Combinação de Alíquota e Item da Lista de Serviços da LC 116/2003"
"B","B030","","","","True","","","2","1:N","OC","Nota Fiscal de Serviços Simplificada (Código 3A)"
"B","B035","","","","","","","3","1:N","","Detalhamento por Combinação de Alíquota e Item da Lista de Serviços da LC 116/2003)"
"B","B350","","","","True","","","2","1:N","OC","Serviços Prestados por Instituições Financeiras"
"B","B420","","","","True","","","2","1:N","OC","Totalização dos Valores de Serviços Prestados por Combinação de Alíquota e Item da Lista de Serviços da LC 116/2003"
"B","B440","","","","","","","2","1:N","","Totalização dos Valores Retidos"
"B","B460","","","","True","","","2","1:N","OC","Deduções do ISS"
"B","B470","","","","True","","","2","1:1","OC","Apuração do ISS"
"B","B500","","","","True","","","2","1:1","OC","Apuração do ISS Sociedade Uniprofissional"
"B","B510","","","","","","","3","1:N","","Uniprofissional - Empregados e Sócios"
"B","B990","True","","","","","","1","1:1","O","ENCERRAMENTO DO BLOCO B"
"C","C001","True","","","","","","1","1:1","O","ABERTURA DO BLOCO C"
"C","C100","","","","","","","2","1:N","","NF, NF Avulsa, NF Produtor E NF-e"
"C","C101","","","","","","","3","1:1","","Informação complementar dos documentos fiscais quando das operações interestaduais destinadas a consumidor final não contribuinte EC 87/15 (Código 55)"
"C","C105","","","","True","","","3","1:1","OC","Operações Com ICMS ST Recolhido Para UF Diversa Do Destinatário Do Documento Fiscal"
"C","C110","","","","True","","","3","1:N","OC","Informação Complementar"
"C","C111","","","","","","","4","1:N","","Processo Referenciado"
"C","C112","","","","","","","4","1:N","","Documento de arrecadação referenciado"
"C","C113","","","","","","","4","1:N","","Documento fiscal referenciado"
"C","C114","","","","","","","4","1:N","","Cupom fiscal referenciado"
