"block","code","desc","level","card","required"
"0","0000","Dados Cadastrais do Informante","0","1:1","True"
"0","0001","ABERTURA DO BLOCO 0","1","1:1","True"
"0","0002","Dados Complementares","2","1:1",""
"0","0005","Dados Complementares","2","1:1","True"
"0","0015","Dados do Contribuinte Substituto ou Responsável pelo ICMS destino","2","1:N",""
"0","0100","Dados do Contabilista","2","1:1",""
"0","0150","Clientes, Fornecedores e Outros","2","1:N",""
"0","0175","Alterações do Participante","3","1:N",""
"0","0190","Identificação das Unidades de Medida","2","1:N",""
"0","0200","Produtos, Serviços e Outros","2","1:N",""
"0","0205","Alterações do item","3","1:N",""
"0","0206","Código de Produto, Conforme Tabela Publicada Pela ANP","3","1:1",""
"0","0220","Fatores de Conversão de Unidades","3","1:N",""
"0","0221","Correlação entre Códigos de Itens Comercializados","3","1:N",""
"0","0300","Cadastro de Bens ou Componentes do Ativo Imobilizado","2","1:N",""
"0","0305","Informação sobre a Utilização do Bem","3","1:1",""
"0","0400","Livre Utilização pelo Contribuinte","2","1:N",""
"0","0450","Dados adicionais dos documentos fiscais","2","1:N",""
"0","0460","Dados adicionais da apuração","2","1:N",""
"0","0500","Plano de Contas Contábeis","2","1:N",""
"0","0600","Centro de Custos","2","1:N",""
"0","0990","ENCERRAMENTO DO BLOCO 0","1","1:1","True"
"B","B001","ABERTURA DO BLOCO B","1","1:1","True"
"B","B020","NF, NF Avulsa, NF Produtor, NF-e (ISS) e NF3e","2","1:N",""
"B","B025","Detalhamento por Combinação de Alíquota e Item da Lista de Serviços da LC 116/2003","3","1:N",""
"B","B030","Nota Fiscal de Serviços Simplificada (Código 3A)","2","1:N",""
"B","B035","Detalhamento por Combinação de Alíquota e Item da Lista de Serviços da LC 116/2003)","3","1:N",""
"B","B350","Serviços Prestados por Instituições Financeiras","2","1:N",""
"B","B420","Totalização dos Valores de Serviços Prestados por Combinação de Alíquota e Item da Lista de Serviços da LC 116/2003","2","1:N",""
"B","B440","Totalização dos Valores Retidos","2","1:N",""
"B","B460","Deduções do ISS","2","1:N",""
"B","B470","Apuração do ISS","2","1:1",""
"B","B500","Apuração do ISS Sociedade Uniprofissional","2","1:1",""
"B","B510","Uniprofissional - Empregados e Sócios","3","1:N",""
"B","B990","ENCERRAMENTO DO BLOCO B","1","1:1","True"
"C","C001","ABERTURA DO BLOCO C","1","1:1","True"
