"register","field","rule","severity","reads","message"
"0000","IE","REGRA_VALIDA_IE_0000_V2","2","UF",""
"0000","","REGRA_OBRIGATORIO_CPF_EXCLUDENTE_0000_IMPORTACAO","0","",""
"0000","IND_ATIV","REGRA_VALIDA_IND_ATIV","2","CPF","Para contribuinte pessoa física (CPF informado)  é obrigatório que o campo IND_ATIV seja diferente de 0."
"0000","CNPJ","REGRA_OBRIGATORIO_CPF_EXCLUDENTE_0000_CONTEUDO","2","CPF",""
"0000","","REGRA_VERSAO_LEIAUTE","0","","A versão de leiaute apresentada não é válida para o período informado."
"0000","DT_INI","REGRA_DATA_MINIMA","2","","A data informada deve ser maior ou igual a 01/01/2009."
"0000","DT_FIN","REGRA_MES_ESCRITURACAO","2","DT_INI","As datas de início e fim da escrituração devem pertencer ao mesmo mês e ano."
"0000","DT_INI","REGRA_DATA_MENOR_IGUAL_DT_FIN","2","DT_FIN","Data inválida. Informar data menor ou igual à data final deste registro."
"0000","COD_MUN","REGRA_COD_MUN_EM_UF_V2","2","UF",""
"0000","","REGRA_EXISTE_APURACAO_IPI","6","","Contribuinte de IPI deve apresentar registros E500 e registros filhos."
"0000","","REGRA_NAO_EXISTE_APURACAO_IPI","6","","Se não for contribuinte do IPI, não deve apresentar os registros E500 e filhos."
"0000","DT_INI","REGRA_DATA_VALIDA_A4E5V1","0","",""
"0000","DT_FIN","REGRA_DATA_VALIDA_A4E5V1","0","",""
"0000","CNPJ","REGRA_DIGITO_CNPJ","1","",""
"0000","CPF","REGRA_DIGITO_CPF","1","",""
"0000","SUFRAMA","REGRA_DIGITO_SUFRAMA","1","",""
"0002","","REGRA_REGISTRO_OBRIGATORIO_0002","obrigatoriedade","",""
"0005","FONE","REGRA_VALIDA_TELEFONE_FAX","1","",""
"0005","FAX","REGRA_VALIDA_TELEFONE_FAX","1","",""
"0005","EMAIL","REGRA_VALIDA_EMAIL_FISCAL","1","",""
"0015","IE_ST","REGRA_VALIDA_IE_UF_ST_V2","2","UF_ST",""
"0100","","REGRA_REGISTRO_OBRIGATORIO_0100","obrigatoriedade","",""
"0100","CPF","REGRA_DIGITO_CPF","1","",""
"0100","CNPJ","REGRA_DIGITO_CNPJ","1","",""
"0100","FONE","REGRA_VALIDA_TELEFONE_FAX","1","",""
"0100","FAX","REGRA_VALIDA_TELEFONE_FAX","1","",""
"0100","EMAIL","REGRA_VALIDA_EMAIL_FISCAL","1","",""
"0150","CNPJ","REGRA_NAO_PREENCHER_BRA_CNPJ","2","COD_PAIS",""
"0150","CPF","REGRA_NAO_PREENCHER_BRA_CPF","2","COD_PAIS",""
"0150","IE","REGRA_NAO_PREENCHER_BRA_IE","2","COD_PAIS",""
"0150","SUFRAMA","REGRA_NAO_PREENCHER_BRA_SUFRAMA","2","COD_PAIS",""
"0150","CNPJ","REGRA_CNPJ_EXCLUDENTE","2","CPF","Somente um dos campos deverá estar preenchido: CNPJ ou CPF."
"0150","CNPJ","REGRA_OBRIGATORIO_CPF_BRA_V2","2","COD_PAIS;CPF",""
"0150","COD_MUN","REGRA_OBRIGATORIO_PARA_BRASIL_A10E3V4","2","COD_PAIS","Campo obrigatório para contribuintes domiciliados no Brasil. Deve ser diferente de 9999999."
"0150","","REGRA_REFERENCIADO_COD_PART_17002_V1","6","",""
"0150","IE","REGRA_VALIDA_IE_COD_MUN_V2","2","COD_MUN",""
"0150","CNPJ","REGRA_DIGITO_CNPJ","1","",""
"0150","CPF","REGRA_DIGITO_CPF","1","",""
"0150","SUFRAMA","REGRA_DIGITO_SUFRAMA","1","",""
"0175","DT_ALT","REGRA_DATA_ENTRE_DT_INI_DT_FIN_0000_DT_ALT","2","",""
"0175","CONT_ANT","REGRA_VALIDA_IE_COD_MUN_COL_0175_V2","2","",""
"0175","CONT_ANT","REGRA_VALIDACAO_CONT_ANT_14001_V1","2","",""
"0175","CONT_ANT","REGRA_VALIDA_UF_0175","6","","Não é permitida alteração da UF e/ou IE do participante. Deve ser criado um novo participante no registro 0150."
"0175","DT_ALT","REGRA_DATA_VALIDA_A4E5V1","0","",""
