"register","field","values"
"0000","COD_FIN","0=Remessa do arquivo original;1=Remessa do arquivo substituto"
"0000","IND_PERFIL","A=Perfil A;B=Perfil B;C=Perfil C"
"0000","IND_ATIV","0=Industrial ou equiparado a industrial;1=Outras"
"0001","IND_MOV","0=Bloco com dados informados;1=Bloco sem dados informados"
"0175","NR_CAMPO","03=Nome;04=Código do País;05=CNPJ;06=CPF;08=Código do Município;09=Inscrição na Suframa;10=Logradouro;11=Número;12=Complemento;13=Bairro;"
"0200","TIPO_ITEM","00=Mercadoria para Revenda;01=Matéria-Prima;02=Embalagem;03=Produto em Processo;04=Produto Acabado;05=Subproduto;06=Produto Intermediário;07=Material de Uso e Consumo;08=Ativo Imobilizado;09=Serviços;10=Outros insumos;99=Outros"
"0300","IDENT_MERC","1=bem;2=componente"
"0500","COD_NAT_CC","01=Contas de ativo;02=Contas de passivo;03=Patrimônio líquido;04=Contas de resultado;05=Contas de compensação;09=Outras"
"0500","IND_CTA","S=Sintética (grupo de contas);A=Analítica (conta)"
"B001","IND_MOV","0=Bloco com dados informados;1=Bloco sem dados informados"
"B020","IND_OPER","0=Entrada;1=Saída"
"B020","IND_EMIT","0=Emissão própria;1=Terceiros"
"B020","COD_MOD","01=Nota Fiscal;03=Nota Fiscal de Serviços;3B=Nota Fiscal de Serviços - Modelo Avulso;04=Nota Fiscal de Produtor;08=Conhecimento de Transporte Rodoviário de Cargas;55=Nota Fiscal Eletrônica;65=NF Eletrônica para consumidor final;66=Nota Fiscal/Conta de Energia Elétrica Eletrônica - NF3e"
"B440","IND_OPER","0=Entrada;1=Saída"
"B460","IND_DED","0=Compensação do ISS calculado a maior;1=Benefício fiscal por incentivo à cultura;2=Decisão administrativa ou judicial;9=Outros"
"B460","IND_PROC","0=Sefin;1=Justiça Federal;2=Justiça Estadual;9=Outros"
"B460","IND_OBR","0=ISS Próprio;1=ISS Substituto (devido pelas aquisições de serviços do declarante);2=ISS Uniprofissionais"
"B510","IND_PROF","0=Profissional habilitado;1=Profissional não habilitado"
"B510","IND_ESC","0=Nível superior;1=Nível médio"
"B510","IND_SOC","0=Sócio;1=Não sócio"
"C001","IND_MOV","0=Bloco com dados informados;1=Bloco sem dados informados"
"C100","IND_OPER","0=Entrada;1=Saída"
"C100","IND_EMIT","0=Emissão própria;1=Terceiros"
"C100","COD_MOD","01=Nota Fiscal;1B=Nota Fiscal Avulsa;04=Nota Fiscal de Produtor;55=Nota Fiscal Eletrônica;65=NF Eletrônica para consumidor final"
"C100","IND_PGTO","0=A vista;1=A prazo;2=Outros"
"C100","IND_FRT","0=Contratação do Frete por conta do Remetente(CIF);1=Contratação do Frete por conta do destinatário(FOB);2=Contratação do Frete por conta de terceiros;3=Transporte Próprio por conta do Rementente;4=Transporte Próprio por conta do Destinatário;9=Sem Ocorrência de Transporte"
"C105","OPER","0=Combustíveis e Lubrificantes;1=Leasing de veículos ou faturamento direto;2=Recusa de recebimento (de acordo com as condições descritas nas instruções do Registro)"
"C111","IND_PROC","0=Sefaz;1=Justiça Federal;2=Justiça Estadual;3=Secex/SRF;9=Outros"
"C112","COD_DA","0=documento estadual de arrecadação;1=GNRE"
"C113","IND_OPER","0=Entrada;1=Saída"
"C113","IND_EMIT","0=Emissão Própria;1=Terceiros"
"C114","COD_MOD","02=Nota Fiscal de Venda a Consumidor;2D=Cupom Fiscal emitido por ECF;2E=Bilhete de Passagem emitido por ECF"
"C115","IND_CARGA","0=Rodoviário;1=Ferroviário;2=Rodo-Ferroviário;3=Aquaviário;4=Dutoviário;5=Aéreo;9=Outros"
"C120","COD_DOC_IMP","0=Declaração de Importação;1=Declaração Simplificada de Importação;2=Declaração Única de Importação (DUIMP)"
"C140","IND_EMIT","0=Emissão própria;1=Terceiros"
"C140","IND_TIT","00=Duplicata;01=Cheque;02=Promissória;03=Recibo;99=Outros (descrever)"
"C170","IND_MOV","0=Sim;1=Não"
"C170","IND_APUR","0=Mensal;1=Decendial"
"C173","IND_MED","0=Base de cálculo referente ao preço tabelado ou preço máximo sugerido;1=Base cálculo – Margem de valor agregado;2=Base de cálculo referente à Lista Negativa;3=Base de cálculo referente à Lista Positiva;4=Base de cálculo referente à Lista Neutra"
"C173","TP_PROD","0=Similar;1=Genérico;2=Ético ou de marca"
"C174","IND_ARM","0=Uso permitido;1=Uso restrito"
"C175","IND_VEIC_OPER","0=Venda para concessionária;1=Faturamento direto;2=Venda direta;3=Venda da concessionária;9=Outros"
"C176","COD_MOD_ULT_E","01=Nota Fiscal;55=Nota Fiscal Eletrônica"
"C176","COD_RESP_RET","1=Remetente Direto regime comum;2=Remetente Indireto;3=Próprio declarante;4=Remetente Direto Simples Nacional"
"C176","COD_MOT_RES","1=Venda para outra UF;2=Saída amparada por isenção ou não incidência;3=Perda ou deterioração;4=Furto ou roubo;5=Exportação;6=Venda interna para Simples Nacional;9=Outros"
"C176","COD_DA","0=Documento estadual de arrecadação;1=GNRE"
"C180","COD_RESP_RET","1=Remetente Direto;2=Remetente Indireto;3=Próprio declarante"
"C180","COD_DA","0=Documento estadual de arrecadação;1=GNRE"
"C181","COD_MOD_SAIDA","01=Nota Fiscal;1B=Nota Fiscal Avulsa;02=Nota Fiscal de Venda a Consumidor;2D=Cupom Fiscal emitido por ECF;04=Nota Fiscal de Produtor;55=Nota Fiscal Eletrônica;59=Cupom Fiscal Eletrônico - CF-e;60=CF-e-ECF;65=NF Eletrônica para consumidor final"
"C186","COD_MOD_ENTRADA","01=Nota Fiscal;1B=Nota Fiscal Avulsa;04=Nota Fiscal de Produtor;55=Nota Fiscal Eletrônica"
"C300","COD_MOD","02=Nota Fiscal de Venda a Consumidor;"
"C400","COD_MOD","02=Nota Fiscal de Venda a Consumidor;2D=Cupom Fiscal emitido por ECF;60=CF-e-ECF"
"C460","COD_MOD","02=Nota Fiscal de Venda a Consumidor;2D=Cupom Fiscal emitido por ECF;60=CF-e-ECF"
"C500","IND_OPER","0=Entrada;1=Saída"
"C500","IND_EMIT","0=Emissão própria;1=Terceiros"
"C500","COD_MOD","06=Nota Fiscal/Conta de Energia Elétrica;28=Nota Fiscal/Conta de Fornecimento de Gás Canalizado;29=Nota Fiscal/Conta de Fornecimento de Água Canalizada;66=Nota Fiscal/Conta de Energia Elétrica Eletrônica - NF3e"
"C500","TP_LIGACAO","1=Monofásico;2=Bifásico;3=Trifásico"
"C500","COD_GRUPO_TENSAO","01=A1 - Alta Tensão (230kV ou mais);02=A2 - Alta Tensão (88 a 138kV);03=A3 - Alta Tensão (69kV);04=A3a - Alta Tensão (30kV a 44kV);05=A4 - Alta Tensão (2,3kV a 25kV);06=AS - Alta Tensão Subterrâneo 06;07=B1 - Residencial 07;08=B1 - Residencial Baixa Renda 08;09=B2 - Rural 09;10=B2 - Cooperativa de Eletrificação Rural;11=B2 - Serviço Público de Irrigação;12=B3 - Demais Classes;13=B4a - Iluminação Pública - rede de distribuição;14=B4b - Iluminação Pública - bulbo de lâmpada"
"C500","FIN_DOCE","1=Normal;2=Substituição;3=Normal com ajuste"
"C500","IND_DEST","1=Contribuinte do ICMS;2=Contribuinte Isento de Inscrição no Cadastro de Contribuintes do ICMS;9=Não contribuinte"
"C500","COD_MOD_DOC_REF","06=Nota Fiscal/Conta de Energia Elétrica;66=Nota Fiscal/Conta de Energia Elétrica Eletrônica - NF3e"
"C510","IND_REC","0=Receita própria;1=Receita de terceiros"
"C600","COD_MOD","06=Nota Fiscal/Conta de Energia Elétrica;28=Nota Fiscal/Conta de Fornecimento de Gás Canalizado;29=Nota Fiscal/Conta de Fornecimento de Água Canalizada"
"C700","COD_MOD","06=Nota Fiscal/Conta de Energia Elétrica;28=Nota Fiscal/Conta de Fornecimento de Gás Canalizado;66=Nota Fiscal/Conta de Energia Elétrica Eletrônica - NF3e"
"D001","IND_MOV","0=Bloco com dados informados;1=Bloco sem dados informados"
"D100","IND_OPER","0=Entrada;1=Saída"
"D100","IND_EMIT","0=Emissão própria;1=Terceiros"
"D100","COD_MOD","07=Nota Fiscal de Serviço de Transporte;08=Conhecimento de Transporte Rodoviário de Cargas;8B=Conhecimento de Transporte de Cargas Avulso;09=Conhecimento de Transporte Aquaviário de Cargas;10=Conhecimento Aéreo;11=Conhecimento de Transporte Ferroviário de Cargas;26=Conhecimento de Transporte Multimodal de Cargas;27=Nota Fiscal de Transporte Ferroviário de Cargas;57=Conhecimento de Transporte Eletrônico – CT-e;63=Bilhete de Passagem Eletrônico - BP-e;67=CTe OS"
"D100","IND_FRT","0=Por conta do emitente;1=Por conta do destinatário/remetente;2=Por conta de terceiros;9=Sem cobrança de frete"
"D130","IND_FRT_RED","0=Sem redespacho;1=Por conta do emitente;2=Por conta do destinatário;9=Outros"
"D140","IND_VEIC","0=Embarcação;1=Empurrador/rebocador"
"D140","IND_NAV","0=Interior;1=Cabotagem"
"D150","IND_TFA","0=Exp;1=Enc;2=CI;9=Outra"
"D161","IND_CARGA","0=Rodoviário;1=Ferroviário;2=Rodo-Ferroviário;3=Aquaviário;4=Dutoviário;5=Aéreo;9=Outros"
"D162","COD_MOD","01=Nota Fiscal;1B=Nota Fiscal Avulsa;04=Nota Fiscal de Produtor;55=Nota Fiscal Eletrônica"
"D170","IND_NAT_FRT","0=Negociável;1=Não negociável"
"D180","IND_EMIT","0=Emissão própria;1=Terceiros"
"D300","COD_MOD","13=Bilhete de Passagem Rodoviário;14=Bilhete de Passagem Aquaviário;15=Bilhete de Passagem e Nota de Bagagem;16=Bilhete de Passagem Ferroviário"
"D350","COD_MOD","2E=Bilhete de Passagem emitido por ECF;13=Bilhete de Passagem Rodoviário;14=Bilhete de Passagem Aquaviário;15=Bilhete de Passagem e Nota de Bagagem;16=Bilhete de Passagem Ferroviário"
