"Register","Page","Nº","Campo","Descrição","Tipo","Tam","Dec","Obrig"
"0000","pva","1","REG","Texto fixo contendo “0000”","C","004","","O"
"0000","pva","2","COD_VER","Código da versão do leiaute conforme a tabela 3.1.1","N","003*","","O"
"0000","pva","3","TIPO_ESCRIT","Tipo de escrituração","N","001","","O"
"0000","pva","4","IND_SIT_ESP","Indicador de situação especial","N","001","",""
"0000","pva","5","NUM_REC_ANTERIOR","Número do Recibo da Escrituração Anterior, a ser Retificada. Utilizado para escrituração retificadora","C","041*","",""
"0000","pva","6","DT_INI","Data inicial das informações contidas no arquivo","D","008*","","O"
"0000","pva","7","DT_FIN","Data final das informações contidas no arquivo","D","008*","","O"
"0000","pva","8","NOME","Nome empresarial da pessoa jurídica","C","100","","O"
"0000","pva","9","CNPJ","Número de inscrição do estabelecimento matriz da pessoa jurídica no CNPJ","N","014*","","O"
"0000","pva","10","UF","Sigla da unidade da federação da pessoa jurídica","C","002*","","O"
"0000","pva","11","COD_MUN","Código do município do domicílio fiscal da pessoa jurídica, conforme a tabela IBGE","N","007*","","O"
"0000","pva","12","SUFRAMA","Inscrição da pessoa jurídica na Suframa","C","009*","",""
"0000","pva","13","IND_NAT_PJ","Indicador da natureza da pessoa jurídica","N","002*","",""
"0000","pva","14","IND_ATIV","Indicador de tipo de atividade preponderante","N","001","","O"
"0001","pva","1","REG","Texto fixo contendo “0001”","C","004","","O"
"0001","pva","2","IND_MOV","Indicador de movimento","N","001","","O"
"0035","pva","1","REG","Texto fixo contendo “0035”","C","004","","OC"
"0035","pva","2","NOME_SCP","Nome empresarial do estabelecimento","C","255","",""
"0035","pva","3","COD_SCP","Código de identificação do estabelecimento","N","014*","","O"
"0035","pva","4","INF_COMP","Informação Complementar do registro","C","255","",""
"0100","pva","1","REG","Texto fixo contendo “0100”","C","004","",""
"0100","pva","2","NOME","Nome do contabilista","C","100","","O"
"0100","pva","3","CPF","Número de inscrição do contabilista no CPF","N","011*","","O"
"0100","pva","4","CRC","Número de inscrição do contabilista no Conselho Regional de Contabilidade","C","015","","O"
"0100","pva","5","CNPJ","Número de inscrição do escritório de contabilidade no CNPJ, se houver","N","014*","",""
"0100","pva","6","CEP","Código de Endereçamento Postal","N","008*","",""
"0100","pva","7","END","Logradouro e endereço do imóvel","C","060","",""
"0100","pva","8","NUM","Número do imóvel","C","","",""
"0100","pva","9","COMPL","Dados complementares do endereço","C","060","",""
"0100","pva","10","BAIRRO","Bairro em que o imóvel está situado","C","060","",""
"0100","pva","11","FONE","Número do telefone","C","011","",""
"0100","pva","12","FAX","Número do fax","C","011","",""
"0100","pva","13","EMAIL","Endereço do correio eletrônico","C","","",""
"0100","pva","14","COD_MUN","Código do município, conforme tabela IBGE","N","007*","",""
"0110","pva","1","REG","Texto fixo contendo “0110”","C","004*","","O"
"0110","pva","2","COD_INC_TRIB","Código indicador da incidência tributária no período","N","001*","","O"
"0110","pva","3","IND_APRO_CRED","Código indicador de método de apropriação de créditos comuns, no caso de incidência no regime não-cumulativo (COD_INC_TRIB = 1 ou 3)","N","001*","",""
"0110","pva","4","COD_TIPO_CONT","Código indicador do Tipo de Contribuição Apurada no Período","N","001*","",""
"0110","pva","5","IND_REG_CUM","Código indicador do Tipo de Critério de escrituração e apuração","N","001*","",""
"0111","pva","1","REG","Texto fixo contendo “0111”","C","004*","","OC"
"0111","pva","2","REC_BRU_NCUM_TRIB_MI","Receita Bruta Não-Cumulativa - Tributada no Mercado Interno","N","","2","O"
"0111","pva","3","REC_BRU_NCUM_NT_MI","Receita Bruta Não-Cumulativa - Não Tributada no Mercado Interno","N","","2","O"
"0111","pva","4","REC_BRU_NCUM_EXP","Receita Bruta Não Cumulativa - Exportação","N","","2","O"
