"register","index","code","type","required","length","xsd_type","decimal","spec_type","spec_required","desc"
"0000","2","COD_VER","char","True","003*","numeric_code","","N","O","Código da versão do leiaute conforme a tabela 3.1.1"
"0000","3","TIPO_ESCRIT","char","True","001","numeric_code","","N","O","Tipo de escrituração"
"0000","4","IND_SIT_ESP","char","","001","numeric_code","","N","","Indicador de situação especial"
"0000","5","NUM_REC_ANTERIOR","char","","041*","","","C","","Número do Recibo da Escrituração Anterior, a ser Retificada. Utilizado para escrituração retificadora"
"0000","6","DT_INI","date","True","008*","","","D","O","Data inicial das informações contidas no arquivo"
"0000","7","DT_FIN","date","True","008*","","","D","O","Data final das informações contidas no arquivo"
"0000","8","NOME","char","True","100","","","C","O","Nome empresarial da pessoa jurídica"
"0000","9","CNPJ","char","True","014*","numeric_code","","N","O","Número de inscrição do estabelecimento matriz da pessoa jurídica no CNPJ"
"0000","10","UF","char","True","002*","","","C","O","Sigla da unidade da federação da pessoa jurídica"
"0000","11","COD_MUN","char","True","007*","numeric_code","","N","O","Código do município do domicílio fiscal da pessoa jurídica, conforme a tabela IBGE"
"0000","12","SUFRAMA","char","","009*","","","C","","Inscrição da pessoa jurídica na Suframa"
"0000","13","IND_NAT_PJ","char","","002*","numeric_code","","N","","Indicador da natureza da pessoa jurídica"
"0000","14","IND_ATIV","char","True","001","numeric_code","","N","O","Indicador de tipo de atividade preponderante"
"0001","2","IND_MOV","char","True","001","numeric_code","","N","O","Indicador de movimento"
"0035","2","NOME_SCP","char","","255","","","C","","Nome empresarial do estabelecimento"
"0035","3","COD_SCP","char","True","014*","numeric_code","","N","O","Código de identificação do estabelecimento"
"0035","4","INF_COMP","char","","255","","","C","","Informação Complementar do registro"
"0100","2","NOME","char","True","100","","","C","O","Nome do contabilista"
"0100","3","CPF","char","True","011*","numeric_code","","N","O","Número de inscrição do contabilista no CPF"
"0100","4","CRC","char","True","015","","","C","O","Número de inscrição do contabilista no Conselho Regional de Contabilidade"
"0100","5","CNPJ","char","","014*","numeric_code","","N","","Número de inscrição do escritório de contabilidade no CNPJ, se houver"
"0100","6","CEP","char","","008*","numeric_code","","N","","Código de Endereçamento Postal"
"0100","7","END","char","","060","","","C","","Logradouro e endereço do imóvel"
"0100","8","NUM","char","","","","","C","","Número do imóvel"
"0100","9","COMPL","char","","060","","","C","","Dados complementares do endereço"
"0100","10","BAIRRO","char","","060","","","C","","Bairro em que o imóvel está situado"
"0100","11","FONE","char","","011","","","C","","Número do telefone"
"0100","12","FAX","char","","011","","","C","","Número do fax"
