"block","code","required","conditional_required","level","card","spec_required","desc"
"0","0000","True","","0","1:1","O","Abertura do Arquivo Digital e Identificação da Pessoa Jurídica"
"0","0001","True","","1","1:1","O","Abertura do Bloco 0"
"0","0035","","True","2","1:N","OC","Identificação de SCP"
"0","0100","","","2","1:N","","Dados do Contabilista"
"0","0110","True","","2","1:1","O","Regimes de Apuração da Contribuição Social e de Apropriação de Crédito"
"0","0111","","True","3","1:1","OC","Tabela de Receita Bruta Mensal para Fins de Rateio de Créditos Comuns"
"0","0120","","","2","1:N","","Identificação de EFD Contribuições Sem Dados a Escriturar e Outras Informações de Interesse do Fisco"
"0","0140","","","2","1:N","","Tabela de Cadastro de Estabelecimento"
"0","0150","","","3","1:N","","Tabela de Cadastro do Participante"
"0","0190","","","3","1:N","","Identificação das unidades de medida"
"0","0200","","","3","1:N","","Tabela de Identificação do Item (Produtos e Serviços)"
"0","0205","","","4","1:N","","Alteração do Item"
"0","0206","","","4","1:1","","Código de produto conforme Tabela publicada pela ANP (Combustíveis)"
"0","0208","","","4","1:1","","Código de Grupos por Marca Comercial - REFRI (Bebidas Frias)"
"0","0400","","","3","1:N","","Tabela de Natureza da Operação/ Prestação"
"0","0450","","","3","1:N","","Tabela de Informação Complementar do documento fiscal"
"0","0500","","","2","1:N","","Plano de Contas Contábeis - Contas Informadas"
"0","0600","","","2","1:N","","Centro de Custos"
"0","0900","","True","2","1:1","OC","Composição das Receitas do Período - Receita Bruta e Demais Receitas"
"0","0990","True","","1","1:1","O","Encerramento do Bloco 0"
"A","A001","","","1","1:1","","Abertura do Bloco A"
"A","A010","","True","2","1:N","OC","Identificação do Estabelecimento"
"A","A100","","True","3","1:N","OC","Documento - Nota Fiscal de Serviços"
"A","A110","","","4","1:N","","Complemento de Documento - Informação Complementar da NF"
"A","A111","","","4","1:N","","Processo Referenciado"
"A","A120","","","4","1:N","","Informação Complementar - Operações de Importação"
"A","A170","True","","4","1:N","O","Complemento de Documento - Itens do Documento"
"A","A990","","","1","1:1","","Encerramento do Bloco A"
"C","C001","","","1","1:1","","Abertura do Bloco C"
"C","C010","","True","2","1:N","OC","Identificação do Estabelecimento"
"C","C100","","True","3","1:N","OC","Documento - Nota Fiscal, Nota Fiscal Avulsa, Nota Fiscal de Produtor, Nota Fiscal Eletrônica e Nota Fiscal do Consumidor Eletrônica"
"C","C110","","","4","1:N","","Complemento de Documento - Informação Complementar da Nota Fiscal"
"C","C111","","","4","1:N","","Processo Referenciado"
"C","C120","","","4","1:N","","Complemento de Documento - Operações de Importação"
"C","C170","","True","4","1:N","OC","Complemento de Documento - Itens do Documento"
"C","C175","","True","4","1:N","OC","Registro Analítico do Documento (Código 65)"
"C","C180","","True","3","1:N","OC","Consolidação de Notas Fiscais Eletrônicas Emitidas pela Pessoa Jurídica (Código 55 e 65) - Operações de Vendas"
"C","C181","","","4","1:N","","Detalhamento da Consolidação - Operações de Vendas - PIS/Pasep"
