"block","code","desc","level","card","required"
"0","0000","Abertura do Arquivo Digital e Identificação da Pessoa Jurídica","0","1:1","True"
"0","0001","Abertura do Bloco 0","1","1:1","True"
"0","0035","Identificação de SCP","2","1:N",""
"0","0100","Dados do Contabilista","2","1:N",""
"0","0110","Regimes de Apuração da Contribuição Social e de Apropriação de Crédito","2","1:1","True"
"0","0111","Tabela de Receita Bruta Mensal para Fins de Rateio de Créditos Comuns","3","1:1",""
"0","0120","Identificação de EFD Contribuições Sem Dados a Escriturar e Outras Informações de Interesse do Fisco","2","1:N",""
"0","0140","Tabela de Cadastro de Estabelecimento","2","1:N",""
"0","0150","Tabela de Cadastro do Participante","3","1:N",""
"0","0190","Identificação das unidades de medida","3","1:N",""
"0","0200","Tabela de Identificação do Item (Produtos e Serviços)","3","1:N",""
"0","0205","Alteração do Item","4","1:N",""
"0","0206","Código de produto conforme Tabela publicada pela ANP (Combustíveis)","4","1:1",""
"0","0208","Código de Grupos por Marca Comercial - REFRI (Bebidas Frias)","4","1:1",""
"0","0400","Tabela de Natureza da Operação/ Prestação","3","1:N",""
"0","0450","Tabela de Informação Complementar do documento fiscal","3","1:N",""
"0","0500","Plano de Contas Contábeis - Contas Informadas","2","1:N",""
"0","0600","Centro de Custos","2","1:N",""
"0","0900","Composição das Receitas do Período - Receita Bruta e Demais Receitas","2","1:1",""
"0","0990","Encerramento do Bloco 0","1","1:1","True"
"A","A001","Abertura do Bloco A","1","1:1",""
"A","A010","Identificação do Estabelecimento","2","1:N",""
"A","A100","Documento - Nota Fiscal de Serviços","3","1:N",""
"A","A110","Complemento de Documento - Informação Complementar da NF","4","1:N",""
"A","A111","Processo Referenciado","4","1:N",""
"A","A120","Informação Complementar - Operações de Importação","4","1:N",""
"A","A170","Complemento de Documento - Itens do Documento","4","1:N","True"
"A","A990","Encerramento do Bloco A","1","1:1",""
"C","C001","Abertura do Bloco C","1","1:1",""
"C","C010","Identificação do Estabelecimento","2","1:N",""
"C","C100","Documento - Nota Fiscal, Nota Fiscal Avulsa, Nota Fiscal de Produtor, Nota Fiscal Eletrônica e Nota Fiscal do Consumidor Eletrônica","3","1:N",""
"C","C110","Complemento de Documento - Informação Complementar da Nota Fiscal","4","1:N",""
"C","C111","Processo Referenciado","4","1:N",""
"C","C120","Complemento de Documento - Operações de Importação","4","1:N",""
"C","C170","Complemento de Documento - Itens do Documento","4","1:N",""
"C","C175","Registro Analítico do Documento (Código 65)","4","1:N",""
"C","C180","Consolidação de Notas Fiscais Eletrônicas Emitidas pela Pessoa Jurídica (Código 55 e 65) - Operações de Vendas","3","1:N",""
"C","C181","Detalhamento da Consolidação - Operações de Vendas - PIS/Pasep","4","1:N",""
"C","C185","Detalhamento da Consolidação - Operações de Vendas - COFINS","4","1:N","True"
"C","C188","Processo Referenciado","4","1:N",""
"C","C190","Consolidação de Notas Fiscais Eletrônicas (Código 55) - Operações de Aquisição com Direito a Crédito, e Operações de Devolução de Compras e Vendas","3","1:N",""
"C","C191","Detalhamento da Consolidação - Operações de Aquisição com Direito a Crédito, e Operações de Devolução de Compras e Vendas - PIS/Pasep","4","1:N","True"
"C","C195","Detalhamento da Consolidação - Operações de Aquisição com Direito a Crédito, e Operações de Devolução de Compras e Vendas - COFINS","4","1:N","True"
"C","C198","Processo Referenciado","4","1:N",""
"C","C199","Complemento de Documento - Operações de Importação","4","1:N",""
"C","C380","C380 - Nota Fiscal de Venda a Consumidor - Consolidação de Documentos Emitidos","3","1:N",""
"C","C381","Detalhamento da Consolidação - PIS/Pasep","4","1:N",""
"C","C385","Detalhamento da Consolidação - COFINS","4","1:N",""
"C","C395","Nota Fiscal de Venda a Consumidor - Aquisições/Entradas com Crédito","3","1:N",""
"C","C396","Itens do Documento - Aquisições/Entradas com Crédito","4","1:N","True"
"C","C400","Equipamento ECF","3","1:N",""
"C","C405","Redução Z","4","1:N","True"
"C","C481","Resumo Diário de Documentos Emitidos por ECF - PIS/Pasep","5","1:N",""
"C","C485","Resumo Diário de Documentos Emitidos por ECF - COFINS","5","1:N",""
"C","C489","Processo Referenciado","4","1:N",""
"C","C490","Consolidação de Documentos Emitidos por ECF - Saída de Mercadoria","3","1:N",""
"C","C491","Detalhamento da Consolidação de Documentos emitidos por ECF - PIS/Pasep","4","1:N",""
"C","C495","Detalhamento da Consolidação de Documentos emitidos por ECF - COFINS","4","1:N",""
"C","C499","Processo Referenciado - Documentos Emitidos Por ECF","4","1:N",""
"C","C500","Nota Fiscal/Conta de Energia Elétrica, Nota Fiscal/Conta de Fornecimento D’Água Canalizada e Nota Fiscal/Consumo Fornecimento de Gás - Documentos de Entrada / Aquisição","3","1:N",""
"C","C501","Complemento da operação - PIS/Pasep","4","1:N","True"
"C","C505","Complemento da operação - COFINS","4","1:N","True"
"C","C509","Processo Referenciado","4","1:N",""
